정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,129382540
,교직원보수,0
,기타 교직원 보수,46986630
,교직원 복지 및 역량강화,82395910
학생복지/교육격차 해소,학생복지/교육격차 해소,1256566170
,급식 관리,1000085000
,기숙사 관리,0
,보건관리,125011370
,교육격차 해소,6580000
,학생복지,124889800
기본적 교육활동,기본적 교육활동,302547890
,교과 활동,195335330
,창의적 체험활동,59469820
,자유학기(년) 활동,47742740
선택적 교육활동,선택적 교육활동,27187870
,방과후학교 운영,0
,직업교육,0
,국제교육,0
,독서활동,25957630
,교기육성,0
,기타 선택적 교육활동,1230240
교육활동 지원,교육활동 지원,195293200
,교무업무 운영,18157400
,생활지도 운영,32340460
,연구학교 운영,1733960
,학습지원실 운영,39807010
,교육여건 개선,103254370
학교 일반운영,학교 일반운영,375441360
,학교기관운영,100198400
,시설 장비 유지,272844840
,학교운영 협력,2398120
학교시설 확충,학교시설 확충,58569000
,시설확충 및 개선,58569000
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,2344988030
