파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,평균합계,학교급
공립_초등_예산_세입_2022.csv,713427448.2039769,6043430.885182809,173471172.54650417,0.0,4513461.834509301,9034772.771007055,906490286.2411802,초등
공립_초등_예산_세입_2023.csv,778167703.2402952,7435442.893808149,174951562.39974335,0.0,6295248.15527751,8168868.30285531,975018824.9919794,초등
공립_초등_예산_세입_2024.csv,831252881.5219136,7643046.395890191,187312321.23936427,0.0,7832465.724835447,7909206.293144967,1041949921.1751484,초등
공립_고등_예산_세입_2022.csv,1181330158.1525545,12807639.608117566,287589029.39118266,0.0,15479817.354793562,19991470.258922324,1517198114.7655704,고등
공립_고등_예산_세입_2023.csv,1295286144.3514645,14891449.79079498,302800380.75313807,0.0,18614513.249651324,18889410.73919107,1650481898.8842402,고등
공립_고등_예산_세입_2024.csv,1455782812.4128313,17158230.125523012,327269449.79079497,0.0,22380483.263598327,15890623.430962345,1838481599.02371,고등
공립_중등_예산_세입_2024.csv,885461811.6270291,4720839.939599849,98619345.41336352,0.0,9595751.604379011,7812980.369950925,1006210728.9543225,중등
공립_중등_예산_세입_2023.csv,805815295.2741021,4906310.018903592,84412237.42911153,0.0,8274472.589792061,8127660.491493383,911535975.8034024,중등
공립_중등_예산_세입_2022.csv,755266060.6520091,4372675.13267627,81540247.9150872,0.0,6245697.119029568,9566294.54131918,856990975.3601213,중등
초등_평균,774282677.6553952,7040640.058293716,178578352.0618706,0.0,6213725.238207419,8370949.122335778,974486344.1361027,초등
중등_평균,815514389.18438,4666608.36372657,88190610.25252075,0.0,8038640.437733546,8502311.800921163,924912560.039282,중등
고등_평균,1310799704.9722834,14952439.84147852,305886286.64503855,0.0,18824937.956014406,18257168.143025246,1668720537.5578403,고등
