파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,평균합계,학교급
공립_초등_예산_세출_2024.csv,106748749000.0,2372527051000.0,899361391000.0,1168408533000.0,424891164000.0,1489017118000.0,20700354000.0,8651699000.0,38086973691.1,6528393032691.1,초등
공립_초등_예산_세출_2023.csv,107748785000.0,2176045561000.0,882190154000.0,1108714430000.0,434982137000.0,1340895318000.0,17507563000.0,10183407000.0,33864106558.600002,6112131461558.6,초등
공립_초등_예산_세출_2022.csv,162763759000.0,1971227009000.0,768794045000.0,1069590521000.0,417220337000.0,1235797836000.0,15167933000.0,12762012000.0,29017731188.5,5682341183188.5,초등
공립_중등_예산_세출_2022.csv,77751376000.0,950484928000.0,329209706000.0,125473203000.0,201915367000.0,564918786000.0,4463258000.0,6525569000.0,11213389819.900002,2271955582819.9,중등
공립_중등_예산_세출_2023.csv,49122563000.0,1044814629000.0,382902814000.0,129189212000.0,204294857000.0,591364421000.0,5474651000.0,3849509000.0,12483357031.0,2423496013031.0,중등
공립_중등_예산_세출_2024.csv,48156984000.0,1169754471000.0,441436952000.0,140374200000.0,202228337000.0,652946634000.0,7472118000.0,3082525000.0,13433625343.400002,2678885846343.4,중등
공립_고등_예산_세출_2024.csv,47425727000.0,1144655932000.0,493271823000.0,172520770000.0,180368981000.0,574931119000.0,19716439000.0,3491822000.0,7372948906.699999,2643755561906.7,고등
공립_고등_예산_세출_2023.csv,49003402000.0,1037638478000.0,401039486000.0,160902989000.0,176831651000.0,520592655000.0,15695714000.0,5086668000.0,6833045395.4,2373624088395.4,고등
공립_고등_예산_세출_2022.csv,72928981000.0,941612980000.0,312732675000.0,169194853000.0,165374985000.0,489570185000.0,10807170000.0,5854277000.0,6207587510.700001,2174283693510.7,고등
public_예산_세출_초등_합계,377261293000.0,6519799621000.0,2550345590000.0,3346713484000.0,1277093638000.0,4065710272000.0,53375850000.0,31597118000.0,100968811438.2,18322865677438.2,초등
public_예산_세출_중등_합계,175030923000.0,3165054028000.0,1153549472000.0,395036615000.0,608438561000.0,1809229841000.0,17410027000.0,13457603000.0,37130372194.3,7374337442194.301,중등
public_예산_세출_고등_합계,169358110000.0,3123907390000.0,1207043984000.0,502618612000.0,522575617000.0,1585093959000.0,46219323000.0,14432767000.0,20413581812.8,7191663343812.8,고등
2024_합계,202331460000.0,4686937454000.0,1834070166000.0,1481303503000.0,807488482000.0,2716894871000.0,47888911000.0,15226046000.0,58893547941.2,11851034440941.2,
2023_합계,205874750000.0,4258498668000.0,1666132454000.0,1398806631000.0,816108645000.0,2452852394000.0,38677928000.0,19119584000.0,53180508985.00001,10909251562985.0,
2022_합계,313444116000.0,3863324917000.0,1410736426000.0,1364258577000.0,784510689000.0,2290286807000.0,30438361000.0,25141858000.0,46438708519.100006,10128580459519.1,
