대분류,RFC_Score,Recency_Score,Frequency_Score,Criticality_Score,base_frequency,source_diversity,persistence_score,date_range_days
교육활동지원,0.5442163056816374,1.0,0.48064453125,0.37989623295409336,0.3212890625,1.0,0.1,0
학생복지/교육격차해소,0.5281732880240992,1.0,0.4475634765625,0.3728697434977481,0.255126953125,1.0,0.1,0
기본적교육활동,0.5016585473831235,1.0,0.3835986328125,0.37054773564530885,0.127197265625,1.0,0.1,0
선택적교육활동,0.4983839989767056,1.0,0.3799365234375,0.3660234740042638,0.119873046875,1.0,0.1,0
학교일반운영,0.49698833112466445,1.0,0.3618701171875,0.380600710624161,0.083740234375,1.0,0.1,0
인적자원운용,0.4926459914110709,1.0,0.3621142578125,0.36950072071517726,0.084228515625,1.0,0.1,0
학교시설확충,0.4551775051701454,1.0,0.2737841796875,0.3641595832378634,0.007568359375,0.8333333333333334,0.1,0
학교재무활동,0.4079475136995316,1.0,0.12048828125,0.3993805029988289,0.0009765625,0.3333333333333333,0.1,0
