조사년도,학제명,시도명,층화학교ID,70%추출,학제유형명,중앙난방신재생에너지실수_2014년이후,지역난방면적_2014년이후,지역난방실수_2014년이후,탄류사용량,유류사용량,가스사용량,유초중등시설_학교용지대지면적,유초중등시설_학교용지체육장면적,학교용지농장면적,학교용지연습림면적,학교용지실습지기타면적,학교소유대지면적,학교소유체육장면적,학교소유농장면적,학교소유연습림면적,학교소유실습지기타면적,공공소유면적,개인소유면적,유초중등시설_정규교실수,심야전력사용량,일반전력사용량,공유면적,유초중등시설_기타교사용도면적,기숙사사택공간면적,식당공간면적,조리실공간면적,보건위생공간면적,체육집회공간면적,유초중등시설_관리지원공간면적,유초중등시설_교수학습공간면적,대용교실수,가교실수,신재생에너지사용량_2014년이후,냉방면적,비난방영역면적,중앙난방면적,심야난방면적,일반난방면적,화석연료난방면적,유류난방면적,가스난방면적,지하수사용량,상수도사용량,집단에너지사용량,개별난방전기면적_2014년이후,개별난방전기실수_2014년이후,개별난방신재생에너지면적_2014년이후,개별난방신재생에너지실수_2014년이후,중앙난방가스면적_2014년이후,중앙난방가스실수_2014년이후,중앙난방유류면적_2014년이후,중앙난방유류실수_2014년이후,중앙난방탄류면적_2014년이후,중앙난방탄류실수_2014년이후,중앙난방기타면적_2014년이후,중앙난방전기실수_2014년이후,중앙난방신재생에너지면적_2014년이후
2021,초등학교,경기,1000246566,Y,초등학교,0,0,0,0,0,0,1815,12341,4927,0,47,0,0,0,0,0,0,0,1,0,123522,0,0,0,0,0,33,66,0,1132,0,1,0,1594,740,0,0,0,0,0,0,0,1103,0,1594,29,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1003017058,Y,초등학교,0,0,0,0,0,14736,2650,17242,0,0,0,0,0,0,0,0,0,0,0,0,359698,0,0,0,0,0,330,330,66,5929,0,1,0,8457,2783,0,0,0,0,0,0,0,3331,0,9150,117,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1007068607,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1007965063,Y,초등학교,0,0,0,0,0,14844,9839,4900,0,0,0,0,0,0,0,0,0,0,0,0,343377,0,0,0,16,18,141,250,0,5225,0,0,0,6464,4235,0,0,0,0,0,0,0,5757,0,500,6,0,0,0,0,0,0,0,0,6571,85,0
2021,일반중학교,경기,1008704364,Y,중학교,0,0,0,0,0,24252,9053,3962,0,0,0,0,0,0,0,0,0,0,2,0,137645,0,0,0,20,28,402,90,820,5285,0,1,167545,6603,6079,0,0,0,0,0,3965,0,4976,0,2638,19,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1014989478,Y,유치원,0,0,0,0,0,3309,649,0,0,0,0,0,0,0,0,0,0,0,1,0,62001,0,0,0,0,0,3,17,0,1000,0,0,0,1059,289,0,0,0,0,0,0,0,1432,0,0,0,0,0,1059,17,0,0,0,0,0,0,0
2021,초등학교,경기,1020256578,Y,초등학교,0,0,0,0,0,9669,9240,3150,0,0,0,0,0,0,0,0,0,0,1,0,372196,0,0,0,0,0,132,132,0,5359,0,0,10402,8440,3018,0,0,0,0,0,0,0,4787,0,8440,110,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1025698153,Y,유치원,0,0,0,0,0,3143,1522,64,0,0,0,0,0,0,0,0,0,0,1,0,67560,0,0,0,0,0,80,66,0,638,0,0,0,778,627,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,959,22,0
2021,초등학교,경기,1026254269,Y,초등학교,0,0,0,0,0,20107,10305,2800,0,0,0,0,0,0,0,0,0,0,1,0,227835,0,0,0,35,35,143,171,201,4107,0,1,111864,5847,4292,0,0,0,0,0,2565,0,4231,0,3282,53,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1027794801,Y,초등학교,0,0,0,0,0,17056,8915,3200,0,0,0,0,0,0,0,0,0,0,2,0,418572,0,0,0,0,0,117,208,0,4529,0,0,0,9271,0,0,0,0,0,0,0,0,5005,0,9271,112,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1029274111,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1031107919,Y,초등학교,0,0,0,0,0,565,2001,8380,0,0,22257,0,0,0,0,0,0,0,0,37531,93738,0,0,0,2,0,93,55,23,767,0,0,0,1120,655,0,0,0,0,0,14,0,711,0,1115,23,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1033076783,Y,초등학교,0,0,0,0,0,43728,13610,4069,0,0,0,0,0,0,0,0,0,0,2,0,361385,0,0,0,0,0,673,198,0,5810,0,1,45382,6150,4593,0,0,0,0,0,4731,0,9025,0,2913,48,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1033855416,Y,유치원,0,842,16,0,0,462,288,384,0,0,0,0,0,0,0,0,0,0,1,0,22507,0,0,0,0,0,3,18,0,698,0,0,0,633,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1037150942,Y,유치원,0,0,0,0,0,5579,715,45,0,0,0,0,0,0,0,0,0,0,0,0,86629,0,0,0,0,0,0,390,0,853,0,1,0,1370,52,0,0,0,0,0,0,0,1065,0,1370,18,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1043542133,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1043711836,Y,유치원,0,0,0,0,0,1678,769,238,0,0,0,0,0,0,0,0,0,0,2,0,188625,0,0,0,0,0,7,243,0,1170,0,0,0,1414,1108,0,0,0,0,0,0,0,1410,0,1196,19,0,0,0,0,0,0,0,0,218,4,0
2021,유치원,경기,1044967045,Y,유치원,0,0,0,0,0,8202,657,60,0,0,0,0,0,0,0,0,0,0,1,0,37628,0,0,0,0,0,36,16,0,834,0,1,0,810,250,0,0,0,0,0,793,0,1509,0,21,1,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1045873179,Y,유치원,0,746,15,0,0,948,746,130,0,0,0,0,0,0,0,0,0,0,1,0,24325,0,0,0,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1046844160,Y,초등학교,0,0,0,0,0,12205,6913,7193,0,0,1161,0,0,0,0,0,0,0,1,0,260848,0,0,0,0,0,220,274,0,2962,0,1,0,4351,2494,0,0,0,0,0,29,0,2626,0,4322,54,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1048322302,Y,유치원,0,0,0,0,0,189,1000,500,0,0,1100,0,0,0,0,0,0,0,1,175170,70000,0,0,0,0,0,0,42,0,1374,1,0,0,2083,0,0,0,0,0,0,2524,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1049550816,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,일반고등학교,경기,1049554518,Y,일반고등학교,0,0,0,0,1704,33738,4609,28086,0,47190,0,0,0,0,0,0,0,0,4,5678,594693,0,0,0,0,0,258,350,254,7079,0,2,66125,13468,3523,0,0,0,0,103,6402,0,14602,0,6276,65,0,0,0,0,687,12,0,0,0,0,0
2021,유치원,경기,1051615782,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1059440681,Y,유치원,0,0,0,0,0,3390,552,293,0,0,0,0,0,0,0,0,0,0,1,0,32310,0,0,0,0,0,0,0,0,514,0,0,0,716,72,0,0,0,0,0,716,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1062149132,Y,초등학교,0,0,0,0,0,6178,10695,3990,0,0,0,0,0,0,0,0,0,0,1,0,329791,0,0,0,0,0,254,136,0,4108,0,1,0,5427,3513,0,0,0,0,0,0,0,3594,0,5427,61,0,0,0,0,0,0,0,0,0,0,0
2021,일반중학교,경기,1062888731,Y,중학교,0,0,0,0,0,10703,4982,7368,0,0,0,0,0,0,0,0,0,0,2,0,239201,0,0,0,0,0,1142,170,0,3912,0,0,0,0,0,0,0,0,0,0,0,0,2908,0,9480,82,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1066319344,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1067726787,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1078167033,Y,유치원,0,0,0,0,3000,360,523,376,0,0,0,0,0,0,0,0,0,0,0,0,43500,0,0,0,0,0,0,0,0,746,0,1,0,976,0,0,0,0,0,1035,0,0,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1086278456,Y,초등학교,0,0,0,0,0,12944,5045,5696,0,0,0,0,0,0,0,0,0,0,0,0,378941,0,0,0,0,0,228,132,0,3918,0,0,0,5125,0,0,0,0,0,0,377,0,3856,0,0,0,0,0,0,0,0,0,0,0,8335,91,0
2021,유치원,경기,1093445608,Y,유치원,0,1839,32,0,0,949,2446,330,0,0,0,0,0,0,0,0,0,0,1,0,43275,0,0,0,0,0,112,84,0,944,0,0,0,1198,0,0,0,0,0,0,0,0,1262,0,16,1,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1095121334,Y,초등학교,0,0,0,0,0,10997,4687,8201,0,0,0,0,0,0,0,0,0,0,3,0,274280,0,0,0,0,0,386,202,0,4932,1,0,0,6192,3586,0,0,0,0,0,448,0,4845,0,5744,84,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1096164630,Y,초등학교,0,0,0,0,0,10924,6224,5954,0,0,0,0,0,0,0,0,0,0,1,0,261399,0,0,0,0,0,287,304,0,2965,0,0,0,4045,2577,0,0,0,0,0,58,0,4031,0,5,1,0,0,0,0,0,0,0,0,3811,50,0
2021,유치원,경기,1096259804,Y,유치원,0,0,0,0,0,8146,1344,2259,0,0,0,0,0,0,0,0,0,0,1,68950,42377,0,0,0,0,0,32,0,0,1781,1,0,0,1884,978,0,0,0,0,0,0,0,3081,0,1884,22,0,0,0,0,0,0,0,0,0,0,0
2021,일반고등학교,경기,1096577244,Y,일반고등학교,0,0,0,0,0,55186,11050,4112,0,0,0,0,0,0,0,0,0,0,2,0,373587,0,0,0,0,0,189,230,0,6118,0,1,0,8139,4491,0,0,0,0,0,5560,0,5653,0,2579,25,0,0,0,0,0,0,0,0,0,0,0
2021,일반중학교,경기,1098030183,Y,중학교,0,0,0,0,0,5955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130174,0,0,0,0,0,306,264,0,2052,0,0,0,3472,956,0,0,0,0,0,88,0,2900,0,3459,53,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1103081218,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1104336287,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1105086158,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1108021522,Y,초등학교,0,0,0,0,0,71,10470,3000,1367,0,1000,0,0,0,0,0,0,0,1,0,138823,0,0,0,0,0,243,66,0,1556,0,0,0,2651,853,0,0,0,0,63,141,0,1350,0,2447,39,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1111728177,Y,유치원,0,0,0,0,0,301,438,409,0,0,0,0,0,0,0,0,0,0,1,0,31879,0,0,0,0,0,0,0,0,384,0,0,0,460,0,0,0,0,0,0,0,0,348,0,0,0,0,0,647,13,0,0,0,0,0,0,0
2021,초등학교,경기,1112407425,Y,초등학교,0,0,0,0,1800,0,16373,8321,0,13020,6601,0,0,0,0,0,0,0,0,1,129446,0,0,0,0,0,270,66,0,1122,0,0,0,1709,1093,0,0,0,0,113,0,0,2111,0,1754,26,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1115327259,Y,초등학교,0,0,0,0,0,9432,22639,6423,0,0,0,0,0,0,0,0,0,0,0,0,171584,0,0,0,0,0,152,99,0,3667,0,1,0,4753,1311,0,0,0,0,0,0,0,4352,0,4753,41,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1118016561,Y,초등학교,0,10484,96,0,0,10232,7055,4446,0,0,0,0,0,0,0,0,0,0,1,0,283194,0,0,0,0,0,144,132,0,5132,0,1,0,11411,0,0,0,0,0,0,0,0,4016,0,927,1,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1118105368,Y,유치원,0,654,16,0,0,4061,327,289,0,0,206,0,0,0,0,0,0,0,0,0,35184,0,0,0,0,0,120,50,0,258,0,0,0,568,18,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,일반중학교,경기,1118872300,Y,중학교,0,0,0,0,0,0,13598,6050,0,0,19648,0,0,0,0,0,0,0,2,0,545180,0,0,0,0,0,36,657,36,3077,0,0,0,5318,4034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6708,96,0
2021,유치원,경기,1120447014,Y,유치원,0,0,0,0,0,28000,941,1785,0,0,0,0,0,0,0,0,0,0,1,0,115000,0,0,0,0,39,0,90,0,1830,0,0,0,1455,0,0,0,0,0,0,3029,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1121620249,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1122026081,Y,초등학교,0,0,0,0,0,26806,10000,2125,0,0,0,0,0,0,0,0,0,0,2,0,323864,0,0,0,0,0,274,105,48,6783,0,3,0,8719,4757,0,0,0,0,0,0,0,5979,0,9594,162,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1124574529,Y,유치원,0,0,0,0,0,5000,343,252,150,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,543,0,0,0,142,10,0,0,0,0,0,585,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1127314578,Y,유치원,0,0,0,0,0,8316,673,0,0,0,0,0,0,0,0,0,0,0,0,0,38557,0,0,0,0,0,67,0,0,435,0,0,0,457,115,0,0,0,0,0,558,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1132533330,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1133534474,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1134038347,Y,유치원,0,0,0,0,0,3193,464,319,0,0,0,0,0,0,0,0,0,0,0,0,25095,0,0,0,0,0,0,0,0,303,0,0,0,464,0,0,0,0,0,0,464,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1135002506,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1137561539,Y,초등학교,0,0,0,0,4780,337,2111,520,0,0,0,0,0,0,0,0,0,0,2,118682,157167,0,0,0,0,0,196,99,0,1228,0,0,0,1516,1045,0,0,0,0,0,0,0,2131,0,1909,36,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1148986067,Y,초등학교,0,0,0,0,0,12401,7756,4203,0,0,0,0,0,0,0,0,0,0,1,0,233219,0,0,0,0,0,479,333,0,3941,0,1,0,5247,2251,0,0,0,0,0,1353,0,3418,0,3894,59,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1151539705,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1157309416,Y,초등학교,0,0,0,0,0,9336,4981,5598,0,0,0,0,0,0,0,0,0,0,0,11083,177774,0,0,0,0,0,66,66,0,4127,0,1,0,4356,0,0,0,0,0,0,0,0,2584,0,7204,68,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1159940242,Y,초등학교,0,0,0,0,0,13492,6320,5352,0,0,0,0,0,0,0,0,0,0,0,0,353802,0,0,0,18,0,85,215,0,4939,0,1,0,5677,3606,0,0,0,0,0,1656,0,5964,0,4545,79,0,0,0,0,0,0,0,0,0,0,0
2021,일반중학교,경기,1163170798,Y,중학교,0,0,0,0,0,6206,9076,9000,0,0,0,0,0,0,0,0,0,0,2,0,274464,0,0,0,0,0,338,130,69,3043,0,1,0,6853,0,0,0,0,0,0,0,0,1183,0,6853,70,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1163257645,Y,초등학교,0,0,0,0,0,0,2710,4067,0,0,2811,0,0,0,0,0,0,0,1,2421,52492,0,0,0,0,0,98,0,0,505,0,0,0,602,355,0,0,0,0,64,0,0,883,0,597,14,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1164344781,Y,초등학교,0,0,0,0,7216,1353,5049,4177,0,0,0,0,0,0,0,0,0,0,0,0,103166,0,0,0,0,0,199,64,0,830,0,0,0,1022,738,0,0,0,0,94,186,0,1504,0,0,0,0,0,0,0,0,0,0,0,988,21,0
2021,유치원,경기,1168744321,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1172665514,Y,유치원,0,0,0,0,405,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,26899,0,0,0,0,0,0,14,0,264,0,1,0,362,0,0,0,0,0,0,0,0,868,0,362,11,0,0,0,0,0,0,0,0,0,0,0
