조사년도,학제명,시도명,층화학교ID,70%추출,학제유형명,휴직여자수석교사수,보직교사수,여자보직교사수,휴직보직교사수,휴직여자보직교사수,교사수,여자교사수,휴직교사수,휴직여자교사수,전문상담교사수,여자전문상담교사수,휴직전문상담교사수,휴직여자전문상담교사수,사서교사수,휴직수석교사수,여자수석교사수,수석교사수,휴직여자교감수,휴직교감수,여자교감수,교감수,휴직여자교장수,휴직교장수,여자교장수,교장수,유초중등교원_여자교원수,유초중등교원_교원수,여자사서교사수,휴직사서교사수,여자시간강사수,시간강사수,여자기간제교사수,기간제교사수,휴직여자영양교사수,휴직영양교사수,여자영양교사수,영양교사수,휴직여자보건교사수,휴직보건교사수,여자보건교사수,보건교사수,휴직여자실기교사수,휴직실기교사수,여자실기교사수,실기교사수,휴직여자사서교사수
2021,유치원,경기,1033855416,Y,유치원,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1037150942,Y,유치원,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1043542133,Y,유치원,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1043711836,Y,유치원,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1044967045,Y,유치원,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1045873179,Y,유치원,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1046844160,Y,초등학교,0,0,0,0,0,19,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,16,24,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
2021,유치원,경기,1048322302,Y,유치원,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1049550816,Y,유치원,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,일반고등학교,경기,1049554518,Y,일반고등학교,0,0,0,0,0,49,33,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,35,54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1051615782,Y,유치원,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1059440681,Y,유치원,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1062149132,Y,초등학교,0,0,0,0,0,33,26,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,30,38,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2021,일반중학교,경기,1062888731,Y,중학교,0,0,0,0,0,35,27,7,7,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,31,40,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
2021,유치원,경기,1066319344,Y,유치원,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1067726787,Y,유치원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1078167033,Y,유치원,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1086278456,Y,초등학교,0,0,0,0,0,43,38,6,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,40,47,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1093445608,Y,유치원,0,0,0,0,0,11,11,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1095121334,Y,초등학교,0,0,0,0,0,37,30,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,32,41,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2021,초등학교,경기,1096164630,Y,초등학교,0,0,0,0,0,32,28,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,30,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1096259804,Y,유치원,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
