과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,1718023754.5396826
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,2003174.603174603
,,국고보조금,국고보조금,2003174.603174603
,,,국고보조금,2003174.603174603
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,106591275.87301587
,,비법정이전수입,비법정이전수입,65322321.11111111
,,,광역지방자치단체전입금,6310915.555555556
,,,기초지방자치단체전입금,59011405.55555555
,,교육경비보조금,교육경비보조금,41268954.76190476
,,,광역지방자치단체전입금,675634.9206349206
,,,기초지방자치단체전입금,40593319.84126984
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,1574762022.3809524
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1574050546.1904762
,,,교육비특별회계전입금,1574050546.1904762
,,기금회계전입금수입,기금회계전입금수입,711476.1904761905
,,,기금회계전입금,711476.1904761905
,기타이전수입,기타이전수입,기타이전수입,34667281.68253968
,,학교회계간이전수입,학교회계간이전수입,29190857.714285713
,,,학교발전기금전입금,8906351.031746032
,,,다른학교회계전입금,20284506.682539683
,,,기타학교회계전입금,539682.5396825396
,,기타공공이전수입,기타공공이전수입,5298328.73015873
,,,기타공공지원금,4758646.19047619
자체수입,자체수입,자체수입,자체수입,123941501.98412699
,학부모부담수입,학부모부담수입,학부모부담수입,116793308.49206349
,,등록금,등록금,182784.7619047619
,,,학교운영지원비,164441736.2857143
,,수익자부담수입,수익자부담수입,272962501.03174603
,,,급식비,139346437.6190476
,,,방과후학교활동비,56769587.53968254
,,,현장체험학습비,95046118.09523809
,,,청소년단체활동비,19911189.523809522
,,,졸업앨범비,54054535.87301587
,,,교과서비,21679097.61904762
,,,기숙사비,2498213.9682539683
,,,기타수익자부담수입,4854356.984126984
,,,누리과정비,231662.6984126984
,,,교복구입비,1985105.0793650793
,,,운동부운영비,9114994.126984127
,,,돌봄활동운영비,22497053.80952381
,행정활동수입,행정활동수입,행정활동수입,7866699.841269841
,,사용료및수수료,사용료및수수료,2107990.634920635
,,,사용료및수수료,2107990.634920635
,,자산수입,자산수입,1531056.3333333333
,,,자산매각대,745342.0476190476
,,적립금처분수입,적립금처분수입,8085069.46031746
,,,적립금처분수입,6383202.650793651
,,보증금회수,보증금회수,6383202.650793651
,,,보증금회수,101849.20634920635
,,기타행정활동수입,기타행정활동수입,4574805.253968254
,,,지난년도수입,316.3492063492063
,,,이자수입,2713084.73015873
,,,기타행정활동수입,1759554.9682539683
기타수입,기타수입,기타수입,기타수입,32425838.222222224
,전년도이월금,전년도이월금,전년도이월금,34025855.82539683
,,순세계잉여금,순세계잉여금,11227849.92063492
,,,순세계잉여금,12048131.746031746
,,정산대상재원사용잔액,정산대상재원사용잔액,1499242.2857142857
,,,정산대상재원사용잔액,9303602.396825397
,,이월금,이월금,29062577.682539683
,,,이월사업비,21852997.84126984
세입합계,세입합계,세입합계,세입합계,1610358066.6825397
