정책단위사업,정책단위사업.1,합계금액,지역명
정책사업,단위사업,0.0,충북
인적자원 운용,인적자원 운용,63262050.0,충북
,교직원보수,0.0,충북
,기타 교직원 보수,4746970.0,충북
,교직원 복지 및 역량강화,58515080.0,충북
학생복지/교육격차 해소,학생복지/교육격차 해소,1538679640.0,충북
,급식 관리,1134133580.0,충북
,기숙사 관리,0.0,충북
,보건관리,106666920.0,충북
,교육격차 해소,3627000.0,충북
,학생복지,294252140.0,충북
기본적 교육활동,기본적 교육활동,928089154.0,충북
,교과 활동,540124764.0,충북
,창의적 체험활동,377972530.0,충북
,자유학기(년) 활동,9991860.0,충북
선택적 교육활동,선택적 교육활동,604201710.0,충북
,방과후학교 운영,427779010.0,충북
,직업교육,0.0,충북
,국제교육,0.0,충북
,독서활동,67714360.0,충북
,교기육성,45653570.0,충북
,기타 선택적 교육활동,63054770.0,충북
교육활동 지원,교육활동 지원,498937210.0,충북
,교무업무 운영,29909970.0,충북
,생활지도 운영,83305130.0,충북
,연구학교 운영,16979070.0,충북
,학습지원실 운영,71331500.0,충북
,교육여건 개선,297411540.0,충북
학교 일반운영,학교 일반운영,882266690.0,충북
,학교기관운영,232209250.0,충북
,시설 장비 유지,638506050.0,충북
,학교운영 협력,11551390.0,충북
학교시설 확충,학교시설 확충,0.0,충북
,시설확충 및 개선,0.0,충북
학교 재무활동,학교 재무활동,0.0,충북
,반환금,0.0,충북
,예비비,0.0,충북
세출합계,세출합계,4515436454.0,충북
정책사업,단위사업,0.0,제주
인적자원 운용,인적자원 운용,29421850.0,제주
,교직원보수,0.0,제주
,기타 교직원 보수,16384720.0,제주
,교직원 복지 및 역량강화,13037130.0,제주
학생복지/교육격차 해소,학생복지/교육격차 해소,357510710.0,제주
,급식 관리,261194780.0,제주
,기숙사 관리,0.0,제주
,보건관리,32676690.0,제주
,교육격차 해소,4996000.0,제주
,학생복지,58643240.0,제주
기본적 교육활동,기본적 교육활동,319469290.0,제주
,교과 활동,260921320.0,제주
,창의적 체험활동,58547970.0,제주
,자유학기(년) 활동,0.0,제주
선택적 교육활동,선택적 교육활동,191347490.0,제주
,방과후학교 운영,155872800.0,제주
,직업교육,0.0,제주
,국제교육,0.0,제주
,독서활동,25062940.0,제주
,교기육성,0.0,제주
,기타 선택적 교육활동,10411750.0,제주
교육활동 지원,교육활동 지원,228878460.0,제주
,교무업무 운영,8313870.0,제주
,생활지도 운영,23134390.0,제주
,연구학교 운영,60487290.0,제주
,학습지원실 운영,26034210.0,제주
,교육여건 개선,110908700.0,제주
학교 일반운영,학교 일반운영,231355820.0,제주
,학교기관운영,42654680.0,제주
,시설 장비 유지,178976120.0,제주
,학교운영 협력,9725020.0,제주
학교시설 확충,학교시설 확충,64602000.0,제주
,시설확충 및 개선,64602000.0,제주
학교 재무활동,학교 재무활동,0.0,제주
,반환금,0.0,제주
,예비비,0.0,제주
세출합계,세출합계,1422585620.0,제주
정책사업,단위사업,0.0,경북
인적자원 운용,인적자원 운용,76663940.0,경북
,교직원보수,0.0,경북
,기타 교직원 보수,59648930.0,경북
,교직원 복지 및 역량강화,17015010.0,경북
학생복지/교육격차 해소,학생복지/교육격차 해소,1337595459.0,경북
,급식 관리,1135454620.0,경북
,기숙사 관리,0.0,경북
,보건관리,104495170.0,경북
,교육격차 해소,1600000.0,경북
,학생복지,96045669.0,경북
기본적 교육활동,기본적 교육활동,794183930.0,경북
,교과 활동,609326790.0,경북
,창의적 체험활동,149857140.0,경북
,자유학기(년) 활동,35000000.0,경북
선택적 교육활동,선택적 교육활동,723153970.0,경북
,방과후학교 운영,544732500.0,경북
,직업교육,0.0,경북
,국제교육,0.0,경북
,독서활동,80920250.0,경북
,교기육성,93501920.0,경북
