정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,294819305.2222222
,교직원보수,183914454.92063493
,기타 교직원 보수,81258286.98412699
,교직원 복지 및 역량강화,29646563.317460317
학생복지/교육격차 해소,학생복지/교육격차 해소,627446676.0793651
,급식 관리,495509758.17460316
,기숙사 관리,25236415.23809524
,보건관리,42964089.984126985
,교육격차 해소,6893975.714285715
,학생복지,56842436.96825397
기본적 교육활동,기본적 교육활동,298053321.1269841
,교과 활동,210578562.04761904
,창의적 체험활동,83338626.06349206
,자유학기(년) 활동,4136133.015873016
선택적 교육활동,선택적 교육활동,238419951.98412699
,방과후학교 운영,153891746.34920636
,직업교육,0.0
,국제교육,1623436.380952381
,독서활동,23977931.793650795
,교기육성,42808230.61904762
,기타 선택적 교육활동,16118606.841269841
교육활동 지원,교육활동 지원,223287754.17460316
,교무업무 운영,30870418.063492063
,생활지도 운영,27802671.587301586
,연구학교 운영,11476736.047619049
,학습지원실 운영,26448809.42857143
,교육여건 개선,126689119.04761904
학교 일반운영,학교 일반운영,311880283.85714287
,학교기관운영,91525181.53968254
,시설 장비 유지,216595016.98412699
,학교운영 협력,3760085.3333333335
학교시설 확충,학교시설 확충,109145630.0
,시설확충 및 개선,109145630.0
학교 재무활동,학교 재무활동,6095308.73015873
,반환금,6095308.73015873
,예비비,0.0
세출합계,세출합계,2109148231.1746032
