정책단위사업,정책단위사업.1,합계금액,지역명
정책사업,단위사업,0.0,경기
인적자원 운용,인적자원 운용,6844645000.0,경기
,교직원보수,4893685000.0,경기
,기타 교직원 보수,1100132000.0,경기
,교직원 복지 및 역량강화,850828000.0,경기
학생복지/교육격차 해소,학생복지/교육격차 해소,8266103000.0,경기
,급식 관리,7532048000.0,경기
,기숙사 관리,0.0,경기
,보건관리,556337000.0,경기
,교육격차 해소,0.0,경기
,학생복지,177718000.0,경기
기본적 교육활동,기본적 교육활동,2067371000.0,경기
,교과 활동,1143298000.0,경기
,창의적 체험활동,906373000.0,경기
,자유학기(년) 활동,17700000.0,경기
선택적 교육활동,선택적 교육활동,2441763000.0,경기
,방과후학교 운영,1426850000.0,경기
,직업교육,0.0,경기
,국제교육,0.0,경기
,독서활동,391373000.0,경기
,교기육성,622140000.0,경기
,기타 선택적 교육활동,1400000.0,경기
교육활동 지원,교육활동 지원,1399455000.0,경기
,교무업무 운영,861524000.0,경기
,생활지도 운영,119761000.0,경기
,연구학교 운영,0.0,경기
,학습지원실 운영,354694000.0,경기
,교육여건 개선,63476000.0,경기
학교 일반운영,학교 일반운영,5073265000.0,경기
,학교기관운영,2131334000.0,경기
,시설 장비 유지,2901321000.0,경기
,학교운영 협력,40610000.0,경기
학교시설 확충,학교시설 확충,22000000.0,경기
,시설확충 및 개선,22000000.0,경기
학교 재무활동,학교 재무활동,5600000.0,경기
,반환금,5400000.0,경기
,예비비,200000.0,경기
세출합계,세출합계,26120202000.0,경기
정책사업,단위사업,0.0,대전
인적자원 운용,인적자원 운용,24070000.0,대전
,교직원보수,0.0,대전
,기타 교직원 보수,14820000.0,대전
,교직원 복지 및 역량강화,9250000.0,대전
학생복지/교육격차 해소,학생복지/교육격차 해소,272078000.0,대전
,급식 관리,224028000.0,대전
,기숙사 관리,0.0,대전
,보건관리,26748000.0,대전
,교육격차 해소,0.0,대전
,학생복지,21302000.0,대전
기본적 교육활동,기본적 교육활동,72502000.0,대전
,교과 활동,28037000.0,대전
,창의적 체험활동,44465000.0,대전
,자유학기(년) 활동,0.0,대전
선택적 교육활동,선택적 교육활동,97882000.0,대전
,방과후학교 운영,79622000.0,대전
,직업교육,0.0,대전
,국제교육,0.0,대전
,독서활동,17160000.0,대전
,교기육성,1020000.0,대전
,기타 선택적 교육활동,80000.0,대전
교육활동 지원,교육활동 지원,65666000.0,대전
,교무업무 운영,50666000.0,대전
,생활지도 운영,600000.0,대전
,연구학교 운영,0.0,대전
,학습지원실 운영,14400000.0,대전
,교육여건 개선,0.0,대전
학교 일반운영,학교 일반운영,204680000.0,대전
,학교기관운영,136409000.0,대전
,시설 장비 유지,65873000.0,대전
,학교운영 협력,2398000.0,대전
학교시설 확충,학교시설 확충,0.0,대전
,시설확충 및 개선,0.0,대전
학교 재무활동,학교 재무활동,1960000.0,대전
,반환금,1960000.0,대전
,예비비,0.0,대전
세출합계,세출합계,738838000.0,대전
정책사업,단위사업,0.0,강원
인적자원 운용,인적자원 운용,9060000.0,강원
,교직원보수,0.0,강원
,기타 교직원 보수,200000.0,강원
,교직원 복지 및 역량강화,8860000.0,강원
학생복지/교육격차 해소,학생복지/교육격차 해소,134200000.0,강원
,급식 관리,97350000.0,강원
,기숙사 관리,0.0,강원
,보건관리,35650000.0,강원
,교육격차 해소,0.0,강원
,학생복지,1200000.0,강원
기본적 교육활동,기본적 교육활동,178826000.0,강원
,교과 활동,96317000.0,강원
,창의적 체험활동,82509000.0,강원
,자유학기(년) 활동,0.0,강원
선택적 교육활동,선택적 교육활동,128865000.0,강원
,방과후학교 운영,97260000.0,강원
,직업교육,0.0,강원
,국제교육,0.0,강원
,독서활동,22750000.0,강원
,교기육성,1415000.0,강원
,기타 선택적 교육활동,7440000.0,강원
교육활동 지원,교육활동 지원,33967000.0,강원
,교무업무 운영,14009000.0,강원
,생활지도 운영,2580000.0,강원
,연구학교 운영,0.0,강원
,학습지원실 운영,12978000.0,강원
,교육여건 개선,4400000.0,강원
학교 일반운영,학교 일반운영,330072000.0,강원
,학교기관운영,96880000.0,강원
,시설 장비 유지,222022000.0,강원
,학교운영 협력,11170000.0,강원
학교시설 확충,학교시설 확충,0.0,강원
,시설확충 및 개선,0.0,강원
학교 재무활동,학교 재무활동,0.0,강원
,반환금,0.0,강원
,예비비,0.0,강원
세출합계,세출합계,814990000.0,강원
정책사업,단위사업,0.0,인천
인적자원 운용,인적자원 운용,149635000.0,인천
,교직원보수,0.0,인천
,기타 교직원 보수,106840000.0,인천
,교직원 복지 및 역량강화,42795000.0,인천
학생복지/교육격차 해소,학생복지/교육격차 해소,1582626000.0,인천
,급식 관리,1464258000.0,인천
,기숙사 관리,0.0,인천
,보건관리,115568000.0,인천
,교육격차 해소,550000.0,인천
,학생복지,2250000.0,인천
기본적 교육활동,기본적 교육활동,615213000.0,인천
,교과 활동,488152000.0,인천
,창의적 체험활동,127061000.0,인천
,자유학기(년) 활동,0.0,인천
선택적 교육활동,선택적 교육활동,1121427000.0,인천
,방과후학교 운영,903211000.0,인천
,직업교육,0.0,인천
,국제교육,0.0,인천
,독서활동,43452000.0,인천
,교기육성,172294000.0,인천
,기타 선택적 교육활동,2470000.0,인천
교육활동 지원,교육활동 지원,356005000.0,인천
,교무업무 운영,157803000.0,인천
,생활지도 운영,61040000.0,인천
,연구학교 운영,7000000.0,인천
,학습지원실 운영,58345000.0,인천
,교육여건 개선,71817000.0,인천
학교 일반운영,학교 일반운영,577548000.0,인천
,학교기관운영,227077000.0,인천
,시설 장비 유지,335101000.0,인천
,학교운영 협력,15370000.0,인천
학교시설 확충,학교시설 확충,0.0,인천
,시설확충 및 개선,0.0,인천
학교 재무활동,학교 재무활동,16800000.0,인천
,반환금,0.0,인천
,예비비,16800000.0,인천
세출합계,세출합계,4419254000.0,인천
정책사업,단위사업,0.0,대구
인적자원 운용,인적자원 운용,38027000.0,대구
,교직원보수,0.0,대구
,기타 교직원 보수,33837000.0,대구
,교직원 복지 및 역량강화,4190000.0,대구
학생복지/교육격차 해소,학생복지/교육격차 해소,98255000.0,대구
,급식 관리,76672000.0,대구
,기숙사 관리,0.0,대구
,보건관리,16963000.0,대구
,교육격차 해소,0.0,대구
,학생복지,4620000.0,대구
기본적 교육활동,기본적 교육활동,103497000.0,대구
,교과 활동,59560000.0,대구
,창의적 체험활동,43937000.0,대구
,자유학기(년) 활동,0.0,대구
선택적 교육활동,선택적 교육활동,323648000.0,대구
,방과후학교 운영,304488000.0,대구
,직업교육,0.0,대구
,국제교육,0.0,대구
,독서활동,13560000.0,대구
,교기육성,2100000.0,대구
,기타 선택적 교육활동,3500000.0,대구
교육활동 지원,교육활동 지원,54848000.0,대구
,교무업무 운영,3760000.0,대구
,생활지도 운영,20088000.0,대구
,연구학교 운영,0.0,대구
,학습지원실 운영,19500000.0,대구
,교육여건 개선,11500000.0,대구
학교 일반운영,학교 일반운영,147728000.0,대구
,학교기관운영,47570000.0,대구
,시설 장비 유지,97018000.0,대구
,학교운영 협력,3140000.0,대구
학교시설 확충,학교시설 확충,6000000.0,대구
,시설확충 및 개선,6000000.0,대구
학교 재무활동,학교 재무활동,3000000.0,대구
,반환금,0.0,대구
,예비비,3000000.0,대구
세출합계,세출합계,775003000.0,대구
정책사업,단위사업,0.0,경남
인적자원 운용,인적자원 운용,161921000.0,경남
,교직원보수,0.0,경남
,기타 교직원 보수,144400000.0,경남
,교직원 복지 및 역량강화,17521000.0,경남
학생복지/교육격차 해소,학생복지/교육격차 해소,2969657000.0,경남
,급식 관리,2438194000.0,경남
,기숙사 관리,154989000.0,경남
,보건관리,128557000.0,경남
,교육격차 해소,8100000.0,경남
,학생복지,239817000.0,경남
기본적 교육활동,기본적 교육활동,772477000.0,경남
,교과 활동,367701000.0,경남
,창의적 체험활동,404776000.0,경남
,자유학기(년) 활동,0.0,경남
선택적 교육활동,선택적 교육활동,754234000.0,경남
,방과후학교 운영,490944000.0,경남
,직업교육,0.0,경남
,국제교육,0.0,경남
,독서활동,109385000.0,경남
,교기육성,153235000.0,경남
,기타 선택적 교육활동,670000.0,경남
교육활동 지원,교육활동 지원,400819000.0,경남
,교무업무 운영,264118000.0,경남
,생활지도 운영,76711000.0,경남
,연구학교 운영,0.0,경남
,학습지원실 운영,54890000.0,경남
,교육여건 개선,5100000.0,경남
학교 일반운영,학교 일반운영,1146677000.0,경남
,학교기관운영,358793000.0,경남
,시설 장비 유지,775694000.0,경남
,학교운영 협력,12190000.0,경남
학교시설 확충,학교시설 확충,2000000.0,경남
,시설확충 및 개선,2000000.0,경남
학교 재무활동,학교 재무활동,14000000.0,경남
,반환금,0.0,경남
,예비비,14000000.0,경남
세출합계,세출합계,6221785000.0,경남
정책사업,단위사업,0.0,충북
인적자원 운용,인적자원 운용,67190000.0,충북
,교직원보수,0.0,충북
,기타 교직원 보수,14120000.0,충북
,교직원 복지 및 역량강화,53070000.0,충북
학생복지/교육격차 해소,학생복지/교육격차 해소,1219027000.0,충북
,급식 관리,816409000.0,충북
,기숙사 관리,0.0,충북
,보건관리,112206000.0,충북
,교육격차 해소,0.0,충북
,학생복지,290412000.0,충북
기본적 교육활동,기본적 교육활동,372340000.0,충북
,교과 활동,187537000.0,충북
,창의적 체험활동,184803000.0,충북
,자유학기(년) 활동,0.0,충북
선택적 교육활동,선택적 교육활동,330282000.0,충북
,방과후학교 운영,270316000.0,충북
,직업교육,0.0,충북
,국제교육,0.0,충북
,독서활동,43936000.0,충북
,교기육성,13840000.0,충북
,기타 선택적 교육활동,2190000.0,충북
교육활동 지원,교육활동 지원,169007000.0,충북
,교무업무 운영,29135000.0,충북
,생활지도 운영,63059000.0,충북
,연구학교 운영,15000000.0,충북
,학습지원실 운영,34813000.0,충북
,교육여건 개선,27000000.0,충북
학교 일반운영,학교 일반운영,617620000.0,충북
,학교기관운영,193329000.0,충북
,시설 장비 유지,405591000.0,충북
,학교운영 협력,18700000.0,충북
학교시설 확충,학교시설 확충,0.0,충북
,시설확충 및 개선,0.0,충북
학교 재무활동,학교 재무활동,10510000.0,충북
,반환금,10000.0,충북
,예비비,10500000.0,충북
세출합계,세출합계,2785976000.0,충북
정책사업,단위사업,0.0,전북
인적자원 운용,인적자원 운용,15520000.0,전북
,교직원보수,0.0,전북
,기타 교직원 보수,1400000.0,전북
,교직원 복지 및 역량강화,14120000.0,전북
학생복지/교육격차 해소,학생복지/교육격차 해소,144606000.0,전북
,급식 관리,87123000.0,전북
,기숙사 관리,0.0,전북
,보건관리,44613000.0,전북
,교육격차 해소,0.0,전북
,학생복지,12870000.0,전북
기본적 교육활동,기본적 교육활동,122750000.0,전북
,교과 활동,64135000.0,전북
,창의적 체험활동,56165000.0,전북
,자유학기(년) 활동,2450000.0,전북
선택적 교육활동,선택적 교육활동,40366000.0,전북
,방과후학교 운영,19366000.0,전북
,직업교육,0.0,전북
,국제교육,0.0,전북
,독서활동,21000000.0,전북
,교기육성,0.0,전북
,기타 선택적 교육활동,0.0,전북
교육활동 지원,교육활동 지원,57247000.0,전북
,교무업무 운영,22769000.0,전북
,생활지도 운영,1728000.0,전북
,연구학교 운영,500000.0,전북
,학습지원실 운영,28250000.0,전북
,교육여건 개선,4000000.0,전북
학교 일반운영,학교 일반운영,298710000.0,전북
,학교기관운영,127677000.0,전북
,시설 장비 유지,160943000.0,전북
,학교운영 협력,10090000.0,전북
학교시설 확충,학교시설 확충,0.0,전북
,시설확충 및 개선,0.0,전북
학교 재무활동,학교 재무활동,449000.0,전북
,반환금,0.0,전북
,예비비,449000.0,전북
세출합계,세출합계,679648000.0,전북
정책사업,단위사업,0.0,제주
인적자원 운용,인적자원 운용,7275000.0,제주
,교직원보수,0.0,제주
,기타 교직원 보수,1600000.0,제주
,교직원 복지 및 역량강화,5675000.0,제주
학생복지/교육격차 해소,학생복지/교육격차 해소,246840000.0,제주
,급식 관리,192650000.0,제주
,기숙사 관리,0.0,제주
,보건관리,28252000.0,제주
,교육격차 해소,0.0,제주
,학생복지,25938000.0,제주
기본적 교육활동,기본적 교육활동,118759000.0,제주
,교과 활동,76370000.0,제주
,창의적 체험활동,42389000.0,제주
,자유학기(년) 활동,0.0,제주
선택적 교육활동,선택적 교육활동,157001000.0,제주
,방과후학교 운영,128745000.0,제주
,직업교육,0.0,제주
,국제교육,0.0,제주
,독서활동,18156000.0,제주
,교기육성,0.0,제주
,기타 선택적 교육활동,10100000.0,제주
교육활동 지원,교육활동 지원,64868000.0,제주
,교무업무 운영,9760000.0,제주
,생활지도 운영,17600000.0,제주
,연구학교 운영,25000000.0,제주
,학습지원실 운영,12508000.0,제주
,교육여건 개선,0.0,제주
학교 일반운영,학교 일반운영,125246000.0,제주
,학교기관운영,27468000.0,제주
,시설 장비 유지,91268000.0,제주
,학교운영 협력,6510000.0,제주
학교시설 확충,학교시설 확충,100000000.0,제주
,시설확충 및 개선,100000000.0,제주
학교 재무활동,학교 재무활동,1000000.0,제주
,반환금,0.0,제주
,예비비,1000000.0,제주
세출합계,세출합계,820989000.0,제주
정책사업,단위사업,0.0,부산
인적자원 운용,인적자원 운용,139005000.0,부산
,교직원보수,0.0,부산
,기타 교직원 보수,114820000.0,부산
,교직원 복지 및 역량강화,24185000.0,부산
학생복지/교육격차 해소,학생복지/교육격차 해소,3104881000.0,부산
,급식 관리,2612939000.0,부산
,기숙사 관리,0.0,부산
,보건관리,255885000.0,부산
,교육격차 해소,0.0,부산
,학생복지,236057000.0,부산
기본적 교육활동,기본적 교육활동,746187000.0,부산
,교과 활동,333516000.0,부산
,창의적 체험활동,384671000.0,부산
,자유학기(년) 활동,28000000.0,부산
선택적 교육활동,선택적 교육활동,1253895000.0,부산
,방과후학교 운영,758261000.0,부산
,직업교육,0.0,부산
,국제교육,2000000.0,부산
,독서활동,97268000.0,부산
,교기육성,280242000.0,부산
,기타 선택적 교육활동,116124000.0,부산
교육활동 지원,교육활동 지원,417955000.0,부산
,교무업무 운영,198575000.0,부산
,생활지도 운영,77942000.0,부산
,연구학교 운영,0.0,부산
,학습지원실 운영,121398000.0,부산
,교육여건 개선,20040000.0,부산
학교 일반운영,학교 일반운영,746981000.0,부산
,학교기관운영,322181000.0,부산
,시설 장비 유지,400020000.0,부산
,학교운영 협력,24780000.0,부산
학교시설 확충,학교시설 확충,6000000.0,부산
,시설확충 및 개선,6000000.0,부산
학교 재무활동,학교 재무활동,12094000.0,부산
,반환금,0.0,부산
,예비비,12094000.0,부산
세출합계,세출합계,6426998000.0,부산
정책사업,단위사업,0.0,세종
인적자원 운용,인적자원 운용,12650000.0,세종
,교직원보수,0.0,세종
,기타 교직원 보수,1600000.0,세종
,교직원 복지 및 역량강화,11050000.0,세종
학생복지/교육격차 해소,학생복지/교육격차 해소,121422000.0,세종
,급식 관리,89349000.0,세종
,기숙사 관리,0.0,세종
,보건관리,26353000.0,세종
,교육격차 해소,0.0,세종
,학생복지,5720000.0,세종
기본적 교육활동,기본적 교육활동,166155000.0,세종
,교과 활동,79737000.0,세종
,창의적 체험활동,86418000.0,세종
,자유학기(년) 활동,0.0,세종
선택적 교육활동,선택적 교육활동,271449000.0,세종
,방과후학교 운영,247975000.0,세종
,직업교육,0.0,세종
,국제교육,0.0,세종
,독서활동,23474000.0,세종
,교기육성,0.0,세종
,기타 선택적 교육활동,0.0,세종
교육활동 지원,교육활동 지원,81816000.0,세종
,교무업무 운영,23650000.0,세종
,생활지도 운영,26566000.0,세종
,연구학교 운영,0.0,세종
,학습지원실 운영,9600000.0,세종
,교육여건 개선,22000000.0,세종
학교 일반운영,학교 일반운영,215221000.0,세종
,학교기관운영,52436000.0,세종
,시설 장비 유지,158885000.0,세종
,학교운영 협력,3900000.0,세종
학교시설 확충,학교시설 확충,0.0,세종
,시설확충 및 개선,0.0,세종
학교 재무활동,학교 재무활동,1000000.0,세종
,반환금,0.0,세종
,예비비,1000000.0,세종
세출합계,세출합계,869713000.0,세종
정책사업,단위사업,0.0,서울
인적자원 운용,인적자원 운용,10245991000.0,서울
,교직원보수,7524013000.0,서울
,기타 교직원 보수,2215479000.0,서울
,교직원 복지 및 역량강화,506499000.0,서울
학생복지/교육격차 해소,학생복지/교육격차 해소,3429825000.0,서울
,급식 관리,1448707000.0,서울
,기숙사 관리,1323000000.0,서울
,보건관리,417778000.0,서울
,교육격차 해소,35067000.0,서울
,학생복지,205273000.0,서울
기본적 교육활동,기본적 교육활동,755951000.0,서울
,교과 활동,463760000.0,서울
,창의적 체험활동,261191000.0,서울
,자유학기(년) 활동,31000000.0,서울
선택적 교육활동,선택적 교육활동,606526000.0,서울
,방과후학교 운영,374262000.0,서울
,직업교육,0.0,서울
,국제교육,1700000.0,서울
,독서활동,167984000.0,서울
,교기육성,9480000.0,서울
,기타 선택적 교육활동,53100000.0,서울
교육활동 지원,교육활동 지원,882516000.0,서울
,교무업무 운영,249505000.0,서울
,생활지도 운영,124561000.0,서울
,연구학교 운영,151000000.0,서울
,학습지원실 운영,284710000.0,서울
,교육여건 개선,72740000.0,서울
학교 일반운영,학교 일반운영,2820853000.0,서울
,학교기관운영,618235000.0,서울
,시설 장비 유지,2183484000.0,서울
,학교운영 협력,19134000.0,서울
학교시설 확충,학교시설 확충,10000000.0,서울
,시설확충 및 개선,10000000.0,서울
학교 재무활동,학교 재무활동,21000000.0,서울
,반환금,20000000.0,서울
,예비비,1000000.0,서울
세출합계,세출합계,18772662000.0,서울
정책사업,단위사업,0.0,충남
인적자원 운용,인적자원 운용,37294000.0,충남
,교직원보수,0.0,충남
,기타 교직원 보수,698000.0,충남
,교직원 복지 및 역량강화,36596000.0,충남
학생복지/교육격차 해소,학생복지/교육격차 해소,1020741000.0,충남
,급식 관리,763029000.0,충남
,기숙사 관리,0.0,충남
,보건관리,113078000.0,충남
,교육격차 해소,0.0,충남
,학생복지,144634000.0,충남
기본적 교육활동,기본적 교육활동,421592000.0,충남
,교과 활동,162150000.0,충남
,창의적 체험활동,249442000.0,충남
,자유학기(년) 활동,10000000.0,충남
선택적 교육활동,선택적 교육활동,514675000.0,충남
,방과후학교 운영,285300000.0,충남
,직업교육,0.0,충남
,국제교육,0.0,충남
,독서활동,44421000.0,충남
,교기육성,176354000.0,충남
,기타 선택적 교육활동,8600000.0,충남
교육활동 지원,교육활동 지원,178013000.0,충남
,교무업무 운영,34339000.0,충남
,생활지도 운영,50170000.0,충남
,연구학교 운영,12500000.0,충남
,학습지원실 운영,34084000.0,충남
,교육여건 개선,46920000.0,충남
학교 일반운영,학교 일반운영,656351000.0,충남
,학교기관운영,280894000.0,충남
,시설 장비 유지,365057000.0,충남
,학교운영 협력,10400000.0,충남
학교시설 확충,학교시설 확충,0.0,충남
,시설확충 및 개선,0.0,충남
학교 재무활동,학교 재무활동,7387000.0,충남
,반환금,0.0,충남
,예비비,7387000.0,충남
