정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,269669714.28571427
,교직원보수,192093634.92063493
,기타 교직원 보수,60273269.84126984
,교직원 복지 및 역량강화,17302809.523809522
학생복지/교육격차 해소,학생복지/교육격차 해소,427029238.0952381
,급식 관리,348542492.06349206
,기숙사 관리,25499269.84126984
,보건관리,29498968.253968254
,교육격차 해소,915476.1904761905
,학생복지,22573031.746031746
기본적 교육활동,기본적 교육활동,142900587.3015873
,교과 활동,80006984.12698413
,창의적 체험활동,60984984.12698413
,자유학기(년) 활동,1908619.0476190476
선택적 교육활동,선택적 교육활동,133992809.52380952
,방과후학교 운영,90730142.85714285
,직업교육,0.0
,국제교육,0.0
,독서활동,19371730.15873016
,교기육성,19603507.936507937
,기타 선택적 교육활동,4287428.571428572
교육활동 지원,교육활동 지원,81701904.76190476
,교무업무 운영,25359523.80952381
,생활지도 운영,13476523.80952381
,연구학교 운영,3904444.4444444445
,학습지원실 운영,19247936.507936507
,교육여건 개선,19713476.19047619
학교 일반운영,학교 일반운영,238079444.44444445
,학교기관운영,63776952.38095238
,시설 장비 유지,170621698.41269842
,학교운영 협력,3680793.6507936507
학교시설 확충,학교시설 확충,595238.0952380953
,시설확충 및 개선,595238.0952380953
학교 재무활동,학교 재무활동,1077444.4444444445
,반환금,209031.74603174604
,예비비,868412.6984126985
세출합계,세출합계,1295046380.952381
