과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,1792761617.5396826
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,1276190.4761904762
,,국고보조금,국고보조금,1276190.4761904762
,,,국고보조금,1276190.4761904762
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,96783096.42857143
,,비법정이전수입,비법정이전수입,63965771.58730159
,,,광역지방자치단체전입금,4984653.650793651
,,,기초지방자치단체전입금,58981117.93650793
,,교육경비보조금,교육경비보조금,32817324.84126984
,,,광역지방자치단체전입금,1021956.8253968254
,,,기초지방자치단체전입금,31795368.015873015
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,1659664467.936508
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1659137960.0
,,,교육비특별회계전입금,1659137960.0
,,기금회계전입금수입,기금회계전입금수입,526507.9365079365
,,,기금회계전입금,526507.9365079365
,기타이전수입,기타이전수입,기타이전수입,35037862.6984127
,,학교회계간이전수입,학교회계간이전수입,30849982.85714286
,,,학교발전기금전입금,8942411.587301588
,,,다른학교회계전입금,21882968.095238097
,,,기타학교회계전입금,702380.9523809524
,,기타공공이전수입,기타공공이전수입,4018832.222222222
,,,기타공공지원금,3341054.4444444445
자체수입,자체수입,자체수입,자체수입,144492714.98412699
,학부모부담수입,학부모부담수입,학부모부담수입,132539038.8888889
,,등록금,등록금,169047.61904761905
,,,학교운영지원비,183376660.2222222
,,수익자부담수입,수익자부담수입,307891970.2222222
,,,급식비,151825970.7936508
,,,방과후학교활동비,62643225.07936508
,,,현장체험학습비,108363196.03174603
,,,청소년단체활동비,20319458.253968254
,,,졸업앨범비,64697676.253968254
,,,교과서비,24122643.873015873
,,,기숙사비,2244084.761904762
,,,기타수익자부담수입,11024789.206349207
,,,누리과정비,708001.1111111111
,,,교복구입비,2261319.6825396824
,,,운동부운영비,8082309.047619048
,,,돌봄활동운영비,25710668.253968254
,행정활동수입,행정활동수입,행정활동수입,12743568.634920634
,,사용료및수수료,사용료및수수료,2128275.0793650793
,,,사용료및수수료,2132322.698412698
,,자산수입,자산수입,2257668.253968254
,,,자산매각대,1471953.9682539683
,,적립금처분수입,적립금처분수입,7982538.412698412
,,,적립금처분수입,5271460.634920635
,,보증금회수,보증금회수,5143603.492063492
,,,보증금회수,21968.25396825397
,,기타행정활동수입,기타행정활동수입,8416605.777777778
,,,지난년도수입,0.0
,,,이자수입,5550677.666666667
,,,기타행정활동수입,2843959.8571428573
기타수입,기타수입,기타수입,기타수입,49327016.571428575
,전년도이월금,전년도이월금,전년도이월금,52016126.0952381
,,순세계잉여금,순세계잉여금,10046809.063492063
,,,순세계잉여금,11795144.698412698
,,정산대상재원사용잔액,정산대상재원사용잔액,1056238.492063492
,,,정산대상재원사용잔액,6897353.555555556
,,이월금,이월금,45946631.85714286
,,,이월사업비,40285167.952380955
세입합계,세입합계,세입합계,세입합계,1674551716.2063491
