정책단위사업,정책단위사업.1,합계금액,지역명
,반환금,0.0,광주
,예비비,0.0,광주
세출합계,세출합계,1790440466.0,광주
정책사업,단위사업,0.0,충남
인적자원 운용,인적자원 운용,69564720.0,충남
,교직원보수,0.0,충남
,기타 교직원 보수,47482590.0,충남
,교직원 복지 및 역량강화,22082130.0,충남
학생복지/교육격차 해소,학생복지/교육격차 해소,1089260500.0,충남
,급식 관리,658938180.0,충남
,기숙사 관리,0.0,충남
,보건관리,182657200.0,충남
,교육격차 해소,1100000.0,충남
,학생복지,246565120.0,충남
기본적 교육활동,기본적 교육활동,984440210.0,충남
,교과 활동,703497200.0,충남
,창의적 체험활동,270954920.0,충남
,자유학기(년) 활동,9988090.0,충남
선택적 교육활동,선택적 교육활동,1030812130.0,충남
,방과후학교 운영,471354290.0,충남
,직업교육,0.0,충남
,국제교육,0.0,충남
,독서활동,102097790.0,충남
,교기육성,267740310.0,충남
,기타 선택적 교육활동,189619740.0,충남
교육활동 지원,교육활동 지원,992376060.0,충남
,교무업무 운영,32439640.0,충남
,생활지도 운영,94419800.0,충남
,연구학교 운영,86890010.0,충남
,학습지원실 운영,47913520.0,충남
,교육여건 개선,730713090.0,충남
학교 일반운영,학교 일반운영,905030089.0,충남
,학교기관운영,284499929.0,충남
,시설 장비 유지,607330370.0,충남
,학교운영 협력,13199790.0,충남
학교시설 확충,학교시설 확충,0.0,충남
,시설확충 및 개선,0.0,충남
학교 재무활동,학교 재무활동,0.0,충남
,반환금,0.0,충남
,예비비,0.0,충남
세출합계,세출합계,5071483709.0,충남
정책사업,단위사업,0.0,경기
인적자원 운용,인적자원 운용,6970218120.0,경기
,교직원보수,4676306760.0,경기
,기타 교직원 보수,1561800410.0,경기
,교직원 복지 및 역량강화,732110950.0,경기
학생복지/교육격차 해소,학생복지/교육격차 해소,12812203150.0,경기
,급식 관리,10616267170.0,경기
,기숙사 관리,0.0,경기
,보건관리,1221890920.0,경기
,교육격차 해소,54987080.0,경기
,학생복지,919057980.0,경기
기본적 교육활동,기본적 교육활동,4363501550.0,경기
,교과 활동,3571246420.0,경기
,창의적 체험활동,694264390.0,경기
,자유학기(년) 활동,97990740.0,경기
선택적 교육활동,선택적 교육활동,2540047980.0,경기
,방과후학교 운영,1339126900.0,경기
,직업교육,0.0,경기
,국제교육,0.0,경기
,독서활동,332299040.0,경기
,교기육성,752422470.0,경기
,기타 선택적 교육활동,116199570.0,경기
교육활동 지원,교육활동 지원,2661918790.0,경기
,교무업무 운영,288875080.0,경기
,생활지도 운영,326058580.0,경기
,연구학교 운영,92227410.0,경기
,학습지원실 운영,594661840.0,경기
,교육여건 개선,1360095880.0,경기
학교 일반운영,학교 일반운영,4960740610.0,경기
,학교기관운영,1445034120.0,경기
,시설 장비 유지,3480049900.0,경기
,학교운영 협력,35656590.0,경기
학교시설 확충,학교시설 확충,1905692600.0,경기
,시설확충 및 개선,1905692600.0,경기
학교 재무활동,학교 재무활동,39857500.0,경기
,반환금,39857500.0,경기
,예비비,0.0,경기
세출합계,세출합계,36254180300.0,경기
정책사업,단위사업,0.0,서울
인적자원 운용,인적자원 운용,10770521420.0,서울
,교직원보수,7491745740.0,서울
,기타 교직원 보수,2624530240.0,서울
,교직원 복지 및 역량강화,654245440.0,서울
학생복지/교육격차 해소,학생복지/교육격차 해소,9349156470.0,서울
,급식 관리,6643382239.0,서울
,기숙사 관리,1236485000.0,서울
,보건관리,765910820.0,서울
,교육격차 해소,66228031.0,서울
,학생복지,637150380.0,서울
기본적 교육활동,기본적 교육활동,2694217676.0,서울
,교과 활동,1816211650.0,서울
,창의적 체험활동,833839046.0,서울
,자유학기(년) 활동,44166980.0,서울
선택적 교육활동,선택적 교육활동,2543397508.0,서울
,방과후학교 운영,1705363325.0,서울
,직업교육,0.0,서울
,국제교육,12186561.0,서울
,독서활동,400106390.0,서울
,교기육성,236354170.0,서울
,기타 선택적 교육활동,189387062.0,서울
교육활동 지원,교육활동 지원,4132338493.0,서울
,교무업무 운영,782628652.0,서울
,생활지도 운영,626091147.0,서울
,연구학교 운영,241488498.0,서울
,학습지원실 운영,596286146.0,서울
,교육여건 개선,1885844050.0,서울
학교 일반운영,학교 일반운영,4824932285.0,서울
,학교기관운영,1058782420.0,서울
,시설 장비 유지,3710204285.0,서울
,학교운영 협력,55945580.0,서울
학교시설 확충,학교시설 확충,181594180.0,서울
,시설확충 및 개선,181594180.0,서울
학교 재무활동,학교 재무활동,178231780.0,서울
,반환금,178231780.0,서울
,예비비,0.0,서울
세출합계,세출합계,34674389812.0,서울
정책사업,단위사업,0.0,전북
인적자원 운용,인적자원 운용,22224450.0,전북
,교직원보수,0.0,전북
,기타 교직원 보수,4090780.0,전북
,교직원 복지 및 역량강화,18133670.0,전북
학생복지/교육격차 해소,학생복지/교육격차 해소,371927550.0,전북
,급식 관리,99976140.0,전북
,기숙사 관리,0.0,전북
,보건관리,63312810.0,전북
,교육격차 해소,92593860.0,전북
,학생복지,116044740.0,전북
기본적 교육활동,기본적 교육활동,341790370.0,전북
,교과 활동,223394400.0,전북
,창의적 체험활동,114735970.0,전북
,자유학기(년) 활동,3660000.0,전북
선택적 교육활동,선택적 교육활동,186026430.0,전북
,방과후학교 운영,157119890.0,전북
,직업교육,0.0,전북
,국제교육,0.0,전북
,독서활동,23406940.0,전북
,교기육성,0.0,전북
,기타 선택적 교육활동,5499600.0,전북
교육활동 지원,교육활동 지원,192053400.0,전북
,교무업무 운영,23155750.0,전북
,생활지도 운영,7180530.0,전북
,연구학교 운영,16328500.0,전북
,학습지원실 운영,27962360.0,전북
,교육여건 개선,117426260.0,전북
학교 일반운영,학교 일반운영,466757360.0,전북
,학교기관운영,140686950.0,전북
,시설 장비 유지,317335780.0,전북
,학교운영 협력,8734630.0,전북
학교시설 확충,학교시설 확충,34085000.0,전북
,시설확충 및 개선,34085000.0,전북
학교 재무활동,학교 재무활동,2644000.0,전북
,반환금,2544000.0,전북
,예비비,100000.0,전북
세출합계,세출합계,1617508560.0,전북
정책사업,단위사업,0.0,충북
인적자원 운용,인적자원 운용,62055160.0,충북
,교직원보수,0.0,충북
,기타 교직원 보수,7011850.0,충북
,교직원 복지 및 역량강화,55043310.0,충북
학생복지/교육격차 해소,학생복지/교육격차 해소,1381418360.0,충북
,급식 관리,966142480.0,충북
,기숙사 관리,0.0,충북
,보건관리,169006720.0,충북
,교육격차 해소,2350000.0,충북
,학생복지,243919160.0,충북
기본적 교육활동,기본적 교육활동,751079636.0,충북
,교과 활동,466286728.0,충북
,창의적 체험활동,279800448.0,충북
,자유학기(년) 활동,4992460.0,충북
선택적 교육활동,선택적 교육활동,562617080.0,충북
,방과후학교 운영,403424890.0,충북
,직업교육,0.0,충북
,국제교육,0.0,충북
,독서활동,54030810.0,충북
,교기육성,40968410.0,충북
,기타 선택적 교육활동,64192970.0,충북
교육활동 지원,교육활동 지원,515038110.0,충북
,교무업무 운영,27833540.0,충북
,생활지도 운영,72549500.0,충북
,연구학교 운영,98483400.0,충북
,학습지원실 운영,45250160.0,충북
,교육여건 개선,270921510.0,충북
학교 일반운영,학교 일반운영,746348209.0,충북
,학교기관운영,182985955.0,충북
,시설 장비 유지,553079964.0,충북
,학교운영 협력,10282290.0,충북
학교시설 확충,학교시설 확충,15000000.0,충북
,시설확충 및 개선,15000000.0,충북
학교 재무활동,학교 재무활동,943400.0,충북
,반환금,943400.0,충북
,예비비,0.0,충북
세출합계,세출합계,4034499955.0,충북
정책사업,단위사업,0.0,경북
인적자원 운용,인적자원 운용,75443004.0,경북
,교직원보수,0.0,경북
,기타 교직원 보수,58682640.0,경북
,교직원 복지 및 역량강화,16760364.0,경북
학생복지/교육격차 해소,학생복지/교육격차 해소,1359034920.0,경북
,급식 관리,1124127550.0,경북
,기숙사 관리,0.0,경북
,보건관리,168886000.0,경북
,교육격차 해소,1276000.0,경북
,학생복지,64745370.0,경북
기본적 교육활동,기본적 교육활동,899027820.0,경북
,교과 활동,668263470.0,경북
,창의적 체험활동,185805870.0,경북
,자유학기(년) 활동,44958480.0,경북
선택적 교육활동,선택적 교육활동,679963520.0,경북
,방과후학교 운영,482635580.0,경북
,직업교육,0.0,경북
,국제교육,11979760.0,경북
,독서활동,91988760.0,경북
,교기육성,87920390.0,경북
,기타 선택적 교육활동,5439030.0,경북
교육활동 지원,교육활동 지원,1087087310.0,경북
,교무업무 운영,40573340.0,경북
,생활지도 운영,76807440.0,경북
,연구학교 운영,105340100.0,경북
,학습지원실 운영,61841130.0,경북
,교육여건 개선,802525300.0,경북
학교 일반운영,학교 일반운영,922493230.0,경북
,학교기관운영,309072440.0,경북
,시설 장비 유지,598646160.0,경북
,학교운영 협력,14774630.0,경북
학교시설 확충,학교시설 확충,585267620.0,경북
,시설확충 및 개선,585267620.0,경북
학교 재무활동,학교 재무활동,67274650.0,경북
,반환금,67274650.0,경북
,예비비,0.0,경북
세출합계,세출합계,5675592074.0,경북
정책사업,단위사업,0.0,울산
인적자원 운용,인적자원 운용,24396090.0,울산
,교직원보수,0.0,울산
,기타 교직원 보수,14083330.0,울산
,교직원 복지 및 역량강화,10312760.0,울산
학생복지/교육격차 해소,학생복지/교육격차 해소,581131290.0,울산
,급식 관리,454904320.0,울산
,기숙사 관리,0.0,울산
,보건관리,90385090.0,울산
,교육격차 해소,17816400.0,울산
,학생복지,18025480.0,울산
기본적 교육활동,기본적 교육활동,304232950.0,울산
,교과 활동,223813280.0,울산
,창의적 체험활동,80419670.0,울산
,자유학기(년) 활동,0.0,울산
선택적 교육활동,선택적 교육활동,347693825.0,울산
,방과후학교 운영,267058675.0,울산
,직업교육,0.0,울산
