정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,25280000.0
,교직원보수,0.0
,기타 교직원 보수,12960000.0
,교직원 복지 및 역량강화,12320000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,354228000.0
,급식 관리,300515000.0
,기숙사 관리,0.0
,보건관리,26087000.0
,교육격차 해소,0.0
,학생복지,27626000.0
기본적 교육활동,기본적 교육활동,145193000.0
,교과 활동,124520000.0
,창의적 체험활동,20673000.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,106329000.0
,방과후학교 운영,87532000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,17217000.0
,교기육성,1500000.0
,기타 선택적 교육활동,80000.0
교육활동 지원,교육활동 지원,79558000.0
,교무업무 운영,53328000.0
,생활지도 운영,16242000.0
,연구학교 운영,0.0
,학습지원실 운영,9988000.0
,교육여건 개선,0.0
학교 일반운영,학교 일반운영,221021000.0
,학교기관운영,76004000.0
,시설 장비 유지,143317000.0
,학교운영 협력,1700000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,762000.0
,반환금,762000.0
,예비비,0.0
세출합계,세출합계,932371000.0
