정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,13450000.0
,교직원보수,0.0
,기타 교직원 보수,240000.0
,교직원 복지 및 역량강화,13210000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,453869000.0
,급식 관리,371854000.0
,기숙사 관리,0.0
,보건관리,70721000.0
,교육격차 해소,0.0
,학생복지,11294000.0
기본적 교육활동,기본적 교육활동,200561000.0
,교과 활동,124498000.0
,창의적 체험활동,76063000.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,108475000.0
,방과후학교 운영,61040000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,36350000.0
,교기육성,3745000.0
,기타 선택적 교육활동,7340000.0
교육활동 지원,교육활동 지원,49384000.0
,교무업무 운영,23662000.0
,생활지도 운영,7260000.0
,연구학교 운영,0.0
,학습지원실 운영,11862000.0
,교육여건 개선,6600000.0
학교 일반운영,학교 일반운영,395961000.0
,학교기관운영,118033000.0
,시설 장비 유지,265318000.0
,학교운영 협력,12610000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,1221700000.0
