과목,과목.1,과목.2,과목.3,합계금액
장,관,항,목,0.0
이전수입,이전수입,이전수입,이전수입,22406680476.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,16200000.0
,,국고보조금,국고보조금,16200000.0
,,,국고보조금,16200000.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,1025871050.0
,,비법정이전수입,비법정이전수입,352665650.0
,,,광역지방자치단체전입금,296468280.0
,,,기초지방자치단체전입금,56197370.0
,,교육경비보조금,교육경비보조금,673205400.0
,,,광역지방자치단체전입금,38400000.0
,,,기초지방자치단체전입금,634805400.0
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,19773446960.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,19773446960.0
,,,교육비특별회계전입금,19773446960.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,1591162466.0
,,학교회계간이전수입,학교회계간이전수입,1581461766.0
,,,학교발전기금전입금,502263345.0
,,,다른학교회계전입금,1079198421.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,1080700.0
,,,기타공공지원금,1080700.0
자체수입,자체수입,자체수입,자체수입,1750732548.0
,학부모부담수입,학부모부담수입,학부모부담수입,1676205535.0
,,등록금,등록금,8620000.0
,,,학교운영지원비,9836913056.0
,,수익자부담수입,수익자부담수입,11012469465.0
,,,급식비,7056192030.0
,,,방과후학교활동비,1163747085.0
,,,현장체험학습비,5534384310.0
,,,청소년단체활동비,1246688040.0
,,,졸업앨범비,2645298570.0
,,,교과서비,973274450.0
,,,기숙사비,97400470.0
,,,기타수익자부담수입,221191150.0
,,,누리과정비,0.0
,,,교복구입비,35775920.0
,,,운동부운영비,139296470.0
,,,돌봄활동운영비,1216779000.0
,행정활동수입,행정활동수입,행정활동수입,110472913.0
,,사용료및수수료,사용료및수수료,37460800.0
,,,사용료및수수료,37460800.0
,,자산수입,자산수입,910000.0
,,,자산매각대,910000.0
,,적립금처분수입,적립금처분수입,492029126.0
,,,적립금처분수입,401791267.0
,,보증금회수,보증금회수,401791267.0
,,,보증금회수,6416500.0
,,기타행정활동수입,기타행정활동수입,51192713.0
,,,지난년도수입,19930.0
,,,이자수입,20902381.0
,,,기타행정활동수입,23853902.0
기타수입,기타수입,기타수입,기타수입,790825362.0
,전년도이월금,전년도이월금,전년도이월금,874646721.0
,,순세계잉여금,순세계잉여금,204213919.0
,,,순세계잉여금,245753824.0
,,정산대상재원사용잔액,정산대상재원사용잔액,43231614.0
,,,정산대상재원사용잔액,338297989.0
,,이월금,이월금,923009112.0
,,,이월사업비,659085572.0
세입합계,세입합계,세입합계,세입합계,16820538196.0
