정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,67190000.0
,교직원보수,0.0
,기타 교직원 보수,14120000.0
,교직원 복지 및 역량강화,53070000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,1219027000.0
,급식 관리,816409000.0
,기숙사 관리,0.0
,보건관리,112206000.0
,교육격차 해소,0.0
,학생복지,290412000.0
기본적 교육활동,기본적 교육활동,372340000.0
,교과 활동,187537000.0
,창의적 체험활동,184803000.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,330282000.0
,방과후학교 운영,270316000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,43936000.0
,교기육성,13840000.0
,기타 선택적 교육활동,2190000.0
교육활동 지원,교육활동 지원,169007000.0
,교무업무 운영,29135000.0
,생활지도 운영,63059000.0
,연구학교 운영,15000000.0
,학습지원실 운영,34813000.0
,교육여건 개선,27000000.0
학교 일반운영,학교 일반운영,617620000.0
,학교기관운영,193329000.0
,시설 장비 유지,405591000.0
,학교운영 협력,18700000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,10510000.0
,반환금,10000.0
,예비비,10500000.0
세출합계,세출합계,2785976000.0
