정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,11450000.0
,교직원보수,0.0
,기타 교직원 보수,200000.0
,교직원 복지 및 역량강화,11250000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,336952000.0
,급식 관리,318582000.0
,기숙사 관리,0.0
,보건관리,18370000.0
,교육격차 해소,0.0
,학생복지,0.0
기본적 교육활동,기본적 교육활동,130037000.0
,교과 활동,66287000.0
,창의적 체험활동,63750000.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,240899000.0
,방과후학교 운영,227184000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,13015000.0
,교기육성,700000.0
,기타 선택적 교육활동,0.0
교육활동 지원,교육활동 지원,77376000.0
,교무업무 운영,5850000.0
,생활지도 운영,14900000.0
,연구학교 운영,39950000.0
,학습지원실 운영,16676000.0
,교육여건 개선,0.0
학교 일반운영,학교 일반운영,210546000.0
,학교기관운영,102956000.0
,시설 장비 유지,102520000.0
,학교운영 협력,5070000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,1000000.0
,반환금,0.0
,예비비,1000000.0
세출합계,세출합계,1008260000.0
