정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,30573280.0
,교직원보수,0.0
,기타 교직원 보수,14096120.0
,교직원 복지 및 역량강화,16477160.0
학생복지/교육격차 해소,학생복지/교육격차 해소,459393540.0
,급식 관리,309664530.0
,기숙사 관리,0.0
,보건관리,28110230.0
,교육격차 해소,27572730.0
,학생복지,94046050.0
기본적 교육활동,기본적 교육활동,204525890.0
,교과 활동,179007410.0
,창의적 체험활동,25518480.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,264212919.0
,방과후학교 운영,186482650.0
,직업교육,0.0
,국제교육,0.0
,독서활동,19023350.0
,교기육성,52706919.0
,기타 선택적 교육활동,6000000.0
교육활동 지원,교육활동 지원,147227730.0
,교무업무 운영,48874610.0
,생활지도 운영,20186810.0
,연구학교 운영,0.0
,학습지원실 운영,9589860.0
,교육여건 개선,68576450.0
학교 일반운영,학교 일반운영,251232611.0
,학교기관운영,76469031.0
,시설 장비 유지,173068580.0
,학교운영 협력,1695000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,761420.0
,반환금,761420.0
,예비비,0.0
세출합계,세출합계,1357927390.0
