정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,6387544000.0
,교직원보수,4694579000.0
,기타 교직원 보수,1289279000.0
,교직원 복지 및 역량강화,403686000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,8720160000.0
,급식 관리,8003201000.0
,기숙사 관리,0.0
,보건관리,519634000.0
,교육격차 해소,0.0
,학생복지,197325000.0
기본적 교육활동,기본적 교육활동,1985412000.0
,교과 활동,1025466000.0
,창의적 체험활동,931147000.0
,자유학기(년) 활동,28799000.0
선택적 교육활동,선택적 교육활동,2027808000.0
,방과후학교 운영,1176564000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,298514000.0
,교기육성,551660000.0
,기타 선택적 교육활동,1070000.0
교육활동 지원,교육활동 지원,805553000.0
,교무업무 운영,237024000.0
,생활지도 운영,78735000.0
,연구학교 운영,0.0
,학습지원실 운영,388006000.0
,교육여건 개선,101788000.0
학교 일반운영,학교 일반운영,4204020000.0
,학교기관운영,1162392000.0
,시설 장비 유지,2994569000.0
,학교운영 협력,47059000.0
학교시설 확충,학교시설 확충,1400000.0
,시설확충 및 개선,1400000.0
학교 재무활동,학교 재무활동,11821000.0
,반환금,11620000.0
,예비비,201000.0
세출합계,세출합계,24143718000.0
