파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,학교급
충청남도교육청_사립_초등_예산_세출_2023.csv,965981000.0,330193000.0,579665000.0,242638000.0,39415000.0,134895000.0,13294000.0,0.0,12883134.1,초등
충청남도교육청_사립_초등_예산_세출_2022.csv,930656000.0,363179000.0,530988000.0,245345000.0,56766000.0,87693000.0,26500000.0,2000000.0,12531435.8,초등
충청남도교육청_사립_초등_예산_세출_2024.csv,1032517000.0,381902000.0,619957000.0,260054000.0,34098000.0,144164000.0,20000000.0,0.0,14163022.7,초등
충청남도교육청_사립_고등_예산_세출_2023.csv,3786637666.6666665,1450802833.3333333,308630500.0,195024027.7777778,180344611.1111111,461450305.5555556,61125083.333333336,8702722.222222222,17414934.777777776,고등
충청남도교육청_사립_중등_예산_세출_2022.csv,1781941238.0952382,167070738.0952381,113170476.1904762,47831380.952380955,79602809.52380952,182727928.57142857,6261619.047619048,4706119.047619048,16483994.592857143,중등
충청남도교육청_사립_중등_예산_세출_2023.csv,1800309547.6190476,314928428.5714286,143569452.3809524,53473880.952380955,90558238.09523809,197610857.14285713,6569404.761904762,4617571.428571428,18497330.16190476,중등
충청남도교육청_사립_고등_예산_세출_2022.csv,3728659083.3333335,1178609361.1111112,272595138.8888889,232000500.0,180384472.2222222,431682694.4444444,33179305.555555556,9134250.0,15824258.566666666,고등
충청남도교육청_사립_중등_예산_세출_2024.csv,1849531476.1904762,327425428.5714286,140062309.52380952,57722642.85714286,74569380.95238096,216754976.19047618,9133619.047619049,5972619.047619048,18753721.088095237,중등
충청남도교육청_사립_고등_예산_세출_2024.csv,3801016111.111111,1512082916.6666667,353356611.1111111,206811305.55555555,175936166.66666666,492360250.0,69913916.66666667,9362861.111111112,19327602.375,고등
초등_평균,976384666.6666666,358424666.6666667,576870000.0,249345666.66666666,43426333.333333336,122250666.66666667,19931333.333333332,666666.6666666666,13192530.866666665,초등
고등_평균,3772104287.037037,1380498370.3703706,311527416.6666667,211278611.11111113,178888416.66666666,461831083.3333333,54739435.185185194,9066611.111111112,17522265.239814814,고등
중등_평균,1810594087.3015873,269808198.41269845,132267412.6984127,53009301.58730159,81576809.52380952,199031253.96825397,7321547.619047619,5098769.8412698405,17911681.947619047,중등
