정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,78277000.0
,교직원보수,0.0
,기타 교직원 보수,8565000.0
,교직원 복지 및 역량강화,69712000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,1194807000.0
,급식 관리,1041981000.0
,기숙사 관리,0.0
,보건관리,112051000.0
,교육격차 해소,0.0
,학생복지,40775000.0
기본적 교육활동,기본적 교육활동,722652000.0
,교과 활동,332793000.0
,창의적 체험활동,379859000.0
,자유학기(년) 활동,10000000.0
선택적 교육활동,선택적 교육활동,403743000.0
,방과후학교 운영,290950000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,74729000.0
,교기육성,10630000.0
,기타 선택적 교육활동,27434000.0
교육활동 지원,교육활동 지원,276578000.0
,교무업무 운영,35203000.0
,생활지도 운영,75886000.0
,연구학교 운영,2000000.0
,학습지원실 운영,47289000.0
,교육여건 개선,116200000.0
학교 일반운영,학교 일반운영,767867000.0
,학교기관운영,179770000.0
,시설 장비 유지,573067000.0
,학교운영 협력,15030000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,9510000.0
,반환금,10000.0
,예비비,9500000.0
세출합계,세출합계,3453434000.0
