정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,46072136.666666664
,교직원보수,0.0
,기타 교직원 보수,31354286.666666668
,교직원 복지 및 역량강화,14717850.0
학생복지/교육격차 해소,학생복지/교육격차 해소,739248033.3333334
,급식 관리,543730643.3333334
,기숙사 관리,0.0
,보건관리,69143290.0
,교육격차 해소,38848756.666666664
,학생복지,87525343.33333333
기본적 교육활동,기본적 교육활동,395827040.0
,교과 활동,316236543.3333333
,창의적 체험활동,74923830.0
,자유학기(년) 활동,4666666.666666667
선택적 교육활동,선택적 교육활동,401857966.6666667
,방과후학교 운영,292318116.6666667
,직업교육,0.0
,국제교육,0.0
,독서활동,31664093.333333332
,교기육성,73953770.0
,기타 선택적 교육활동,3921986.6666666665
교육활동 지원,교육활동 지원,381912633.3333333
,교무업무 운영,82180460.0
,생활지도 운영,42188243.333333336
,연구학교 운영,15466666.666666666
,학습지원실 운영,21495376.666666668
,교육여건 개선,220581886.66666666
학교 일반운영,학교 일반운영,228987733.33333334
,학교기관운영,94559440.0
,시설 장비 유지,131294790.0
,학교운영 협력,3133503.3333333335
학교시설 확충,학교시설 확충,12859923.333333334
,시설확충 및 개선,12859923.333333334
학교 재무활동,학교 재무활동,41723486.666666664
,반환금,41723486.666666664
,예비비,0.0
세출합계,세출합계,2248488953.3333335
