정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,6018750.0
,교직원보수,0.0
,기타 교직원 보수,835000.0
,교직원 복지 및 역량강화,5183750.0
학생복지/교육격차 해소,학생복지/교육격차 해소,38578500.0
,급식 관리,22504000.0
,기숙사 관리,0.0
,보건관리,11341750.0
,교육격차 해소,0.0
,학생복지,4732750.0
기본적 교육활동,기본적 교육활동,39527500.0
,교과 활동,22304750.0
,창의적 체험활동,16370250.0
,자유학기(년) 활동,852500.0
선택적 교육활동,선택적 교육활동,13504250.0
,방과후학교 운영,6999000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,6505250.0
,교기육성,0.0
,기타 선택적 교육활동,0.0
교육활동 지원,교육활동 지원,15853750.0
,교무업무 운영,5743750.0
,생활지도 운영,1265000.0
,연구학교 운영,500000.0
,학습지원실 운영,6720000.0
,교육여건 개선,1625000.0
학교 일반운영,학교 일반운영,80352250.0
,학교기관운영,32638500.0
,시설 장비 유지,45913750.0
,학교운영 협력,1800000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,871500.0
,반환금,0.0
,예비비,871500.0
세출합계,세출합계,194706500.0
