정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,1346315177.5
,교직원보수,936468217.5
,기타 교직원 보수,328066280.0
,교직원 복지 및 역량강화,81780680.0
학생복지/교육격차 해소,학생복지/교육격차 해소,1168644558.75
,급식 관리,830422779.875
,기숙사 관리,154560625.0
,보건관리,95738852.5
,교육격차 해소,8278503.875
,학생복지,79643797.5
기본적 교육활동,기본적 교육활동,336777209.5
,교과 활동,227026456.25
,창의적 체험활동,104229880.75
,자유학기(년) 활동,5520872.5
선택적 교육활동,선택적 교육활동,317924688.5
,방과후학교 운영,213170415.625
,직업교육,0.0
,국제교육,1523320.125
,독서활동,50013298.75
,교기육성,29544271.25
,기타 선택적 교육활동,23673382.75
교육활동 지원,교육활동 지원,516542311.625
,교무업무 운영,97828581.5
,생활지도 운영,78261393.375
,연구학교 운영,30186062.25
,학습지원실 운영,74535768.25
,교육여건 개선,235730506.25
학교 일반운영,학교 일반운영,603116535.625
,학교기관운영,132347802.5
,시설 장비 유지,463775535.625
,학교운영 협력,6993197.5
학교시설 확충,학교시설 확충,22699272.5
,시설확충 및 개선,22699272.5
학교 재무활동,학교 재무활동,22278972.5
,반환금,22278972.5
,예비비,0.0
세출합계,세출합계,4334298726.5
