정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,47882168.0
,교직원보수,0.0
,기타 교직원 보수,35501042.0
,교직원 복지 및 역량강화,12381126.0
학생복지/교육격차 해소,학생복지/교육격차 해소,607897452.0
,급식 관리,451562220.0
,기숙사 관리,38342660.0
,보건관리,47827272.0
,교육격차 해소,16748256.0
,학생복지,53417044.0
기본적 교육활동,기본적 교육활동,203974502.0
,교과 활동,155629966.0
,창의적 체험활동,44429180.0
,자유학기(년) 활동,3915356.0
선택적 교육활동,선택적 교육활동,248564720.0
,방과후학교 운영,154384886.0
,직업교육,0.0
,국제교육,0.0
,독서활동,24220770.0
,교기육성,64576858.0
,기타 선택적 교육활동,5382206.0
교육활동 지원,교육활동 지원,153441664.0
,교무업무 운영,53183230.0
,생활지도 운영,28778106.0
,연구학교 운영,12369796.0
,학습지원실 운영,11796276.0
,교육여건 개선,47314256.0
학교 일반운영,학교 일반운영,242866462.0
,학교기관운영,82649782.0
,시설 장비 유지,158759582.0
,학교운영 협력,1457098.0
학교시설 확충,학교시설 확충,37883480.0
,시설확충 및 개선,37883480.0
학교 재무활동,학교 재무활동,1312604.0
,반환금,1312604.0
,예비비,0.0
세출합계,세출합계,1543823052.0
