정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,61505000.0
,교직원보수,0.0
,기타 교직원 보수,51870000.0
,교직원 복지 및 역량강화,9635000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,338447000.0
,급식 관리,206165000.0
,기숙사 관리,0.0
,보건관리,122287000.0
,교육격차 해소,0.0
,학생복지,9995000.0
기본적 교육활동,기본적 교육활동,381575000.0
,교과 활동,186993000.0
,창의적 체험활동,189582000.0
,자유학기(년) 활동,5000000.0
선택적 교육활동,선택적 교육활동,341253000.0
,방과후학교 운영,256173000.0
,직업교육,0.0
,국제교육,27000000.0
,독서활동,45730000.0
,교기육성,11350000.0
,기타 선택적 교육활동,1000000.0
교육활동 지원,교육활동 지원,233683000.0
,교무업무 운영,46920000.0
,생활지도 운영,61910000.0
,연구학교 운영,34240000.0
,학습지원실 운영,56123000.0
,교육여건 개선,34490000.0
학교 일반운영,학교 일반운영,630724000.0
,학교기관운영,155119000.0
,시설 장비 유지,469305000.0
,학교운영 협력,6300000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,3440000.0
,반환금,0.0
,예비비,3440000.0
세출합계,세출합계,1990627000.0
