정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,204503000.0
,교직원보수,0.0
,기타 교직원 보수,152347000.0
,교직원 복지 및 역량강화,52156000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,3274131000.0
,급식 관리,2653677000.0
,기숙사 관리,170054000.0
,보건관리,122349000.0
,교육격차 해소,12006000.0
,학생복지,316045000.0
기본적 교육활동,기본적 교육활동,976649000.0
,교과 활동,548610000.0
,창의적 체험활동,428039000.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,802089000.0
,방과후학교 운영,615476000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,141553000.0
,교기육성,41760000.0
,기타 선택적 교육활동,3300000.0
교육활동 지원,교육활동 지원,559703000.0
,교무업무 운영,279940000.0
,생활지도 운영,83965000.0
,연구학교 운영,0.0
,학습지원실 운영,40324000.0
,교육여건 개선,155474000.0
학교 일반운영,학교 일반운영,1284657000.0
,학교기관운영,404272000.0
,시설 장비 유지,863757000.0
,학교운영 협력,16628000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,8584000.0
,반환금,0.0
,예비비,8584000.0
세출합계,세출합계,7110316000.0
