정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,24396090.0
,교직원보수,0.0
,기타 교직원 보수,14083330.0
,교직원 복지 및 역량강화,10312760.0
학생복지/교육격차 해소,학생복지/교육격차 해소,581131290.0
,급식 관리,454904320.0
,기숙사 관리,0.0
,보건관리,90385090.0
,교육격차 해소,17816400.0
,학생복지,18025480.0
기본적 교육활동,기본적 교육활동,304232950.0
,교과 활동,223813280.0
,창의적 체험활동,80419670.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,347693825.0
,방과후학교 운영,267058675.0
,직업교육,0.0
,국제교육,0.0
,독서활동,40439100.0
,교기육성,27535220.0
,기타 선택적 교육활동,12660830.0
교육활동 지원,교육활동 지원,582512200.0
,교무업무 운영,7004700.0
,생활지도 운영,20147590.0
,연구학교 운영,11950000.0
,학습지원실 운영,117408920.0
,교육여건 개선,426000990.0
학교 일반운영,학교 일반운영,271276490.0
,학교기관운영,80497670.0
,시설 장비 유지,181821460.0
,학교운영 협력,8957360.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,27335000.0
,반환금,27335000.0
,예비비,0.0
세출합계,세출합계,2138577845.0
