정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,20818160.0
,교직원보수,0.0
,기타 교직원 보수,13880860.0
,교직원 복지 및 역량강화,6937300.0
학생복지/교육격차 해소,학생복지/교육격차 해소,437360870.0
,급식 관리,355134260.0
,기숙사 관리,0.0
,보건관리,28529040.0
,교육격차 해소,1625000.0
,학생복지,52072570.0
기본적 교육활동,기본적 교육활동,425519540.0
,교과 활동,357864700.0
,창의적 체험활동,63653430.0
,자유학기(년) 활동,4001410.0
선택적 교육활동,선택적 교육활동,265452980.0
,방과후학교 운영,195410560.0
,직업교육,0.0
,국제교육,0.0
,독서활동,27009950.0
,교기육성,850000.0
,기타 선택적 교육활동,42182470.0
교육활동 지원,교육활동 지원,253426310.0
,교무업무 운영,14419090.0
,생활지도 운영,29242080.0
,연구학교 운영,13992610.0
,학습지원실 운영,35425530.0
,교육여건 개선,160347000.0
학교 일반운영,학교 일반운영,399798400.0
,학교기관운영,147344170.0
,시설 장비 유지,245181750.0
,학교운영 협력,7272480.0
학교시설 확충,학교시설 확충,84349000.0
,시설확충 및 개선,84349000.0
학교 재무활동,학교 재무활동,67179240.0
,반환금,67179240.0
,예비비,0.0
세출합계,세출합계,1953904500.0
