정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,121970060.0
,교직원보수,0.0
,기타 교직원 보수,90093520.0
,교직원 복지 및 역량강화,31876540.0
학생복지/교육격차 해소,학생복지/교육격차 해소,912267240.0
,급식 관리,615379960.0
,기숙사 관리,0.0
,보건관리,103487900.0
,교육격차 해소,13707500.0
,학생복지,179691880.0
기본적 교육활동,기본적 교육활동,744462490.0
,교과 활동,408314640.0
,창의적 체험활동,336147850.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,934186960.0
,방과후학교 운영,503087670.0
,직업교육,0.0
,국제교육,0.0
,독서활동,54595910.0
,교기육성,243865450.0
,기타 선택적 교육활동,132637930.0
교육활동 지원,교육활동 지원,678645130.0
,교무업무 운영,100682930.0
,생활지도 운영,60871890.0
,연구학교 운영,51982210.0
,학습지원실 운영,36020270.0
,교육여건 개선,429087830.0
학교 일반운영,학교 일반운영,653485210.0
,학교기관운영,287868680.0
,시설 장비 유지,344854740.0
,학교운영 협력,20761790.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,46336890.0
,반환금,46336890.0
,예비비,0.0
세출합계,세출합계,4091353980.0
