정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,19254000.0
,교직원보수,0.0
,기타 교직원 보수,2140000.0
,교직원 복지 및 역량강화,17114000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,150514000.0
,급식 관리,89452000.0
,기숙사 관리,0.0
,보건관리,45849000.0
,교육격차 해소,0.0
,학생복지,15213000.0
기본적 교육활동,기본적 교육활동,169734000.0
,교과 활동,91983000.0
,창의적 체험활동,74091000.0
,자유학기(년) 활동,3660000.0
선택적 교육활동,선택적 교육활동,61429000.0
,방과후학교 운영,35093000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,25836000.0
,교기육성,0.0
,기타 선택적 교육활동,500000.0
교육활동 지원,교육활동 지원,58981000.0
,교무업무 운영,20630000.0
,생활지도 운영,6048000.0
,연구학교 운영,2000000.0
,학습지원실 운영,29303000.0
,교육여건 개선,1000000.0
학교 일반운영,학교 일반운영,323720000.0
,학교기관운영,137420000.0
,시설 장비 유지,177610000.0
,학교운영 협력,8690000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,400000.0
,반환금,0.0
,예비비,400000.0
세출합계,세출합계,784032000.0
