정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,284314793.6507937
,교직원보수,197106317.46031746
,기타 교직원 보수,61313253.96825397
,교직원 복지 및 역량강화,25895222.222222224
학생복지/교육격차 해소,학생복지/교육격차 해소,384004539.6825397
,급식 관리,304154507.93650794
,기숙사 관리,23460142.85714286
,보건관리,32250095.23809524
,교육격차 해소,724079.3650793651
,학생복지,23415714.285714287
기본적 교육활동,기본적 교육활동,113260984.12698413
,교과 활동,60740936.50793651
,창의적 체험활동,51025603.17460317
,자유학기(년) 활동,1494444.4444444445
선택적 교육활동,선택적 교육활동,140836206.34920636
,방과후학교 운영,94846444.44444445
,직업교육,0.0
,국제교육,344444.44444444444
,독서활동,17434428.57142857
,교기육성,23751095.23809524
,기타 선택적 교육활동,4459793.650793651
교육활동 지원,교육활동 지원,74951984.12698413
,교무업무 운영,33259666.666666668
,생활지도 운영,11029047.61904762
,연구학교 운영,4606190.476190476
,학습지원실 운영,18252428.57142857
,교육여건 개선,7804650.793650794
학교 일반운영,학교 일반운영,225815301.58730158
,학교기관운영,80602285.71428572
,시설 장비 유지,141996952.3809524
,학교운영 협력,3216063.492063492
학교시설 확충,학교시설 확충,2555555.5555555555
,시설확충 및 개선,2555555.5555555555
학교 재무활동,학교 재무활동,1711841.2698412698
,반환금,448730.15873015876
,예비비,1263111.111111111
세출합계,세출합계,1227451206.3492064
