정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,133145580.0
,교직원보수,0.0
,기타 교직원 보수,118792790.0
,교직원 복지 및 역량강화,14352790.0
학생복지/교육격차 해소,학생복지/교육격차 해소,3009543160.0
,급식 관리,2161202410.0
,기숙사 관리,0.0
,보건관리,329091230.0
,교육격차 해소,4193000.0
,학생복지,515056520.0
기본적 교육활동,기본적 교육활동,1285564200.0
,교과 활동,990855440.0
,창의적 체험활동,266708760.0
,자유학기(년) 활동,28000000.0
선택적 교육활동,선택적 교육활동,1466799530.0
,방과후학교 운영,849448510.0
,직업교육,0.0
,국제교육,6250450.0
,독서활동,119702150.0
,교기육성,308747610.0
,기타 선택적 교육활동,182650810.0
교육활동 지원,교육활동 지원,1867908510.0
,교무업무 운영,203451990.0
,생활지도 운영,79775930.0
,연구학교 운영,10000000.0
,학습지원실 운영,246421500.0
,교육여건 개선,1328259090.0
학교 일반운영,학교 일반운영,939386520.0
,학교기관운영,338345820.0
,시설 장비 유지,584315520.0
,학교운영 협력,16725180.0
학교시설 확충,학교시설 확충,6000000.0
,시설확충 및 개선,6000000.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,8708347500.0
