과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,2365050410.625
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,268197381.25
,,비법정이전수입,비법정이전수입,213105190.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,213105190.0
,,교육경비보조금,교육경비보조금,55092191.25
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,55092191.25
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,2087483096.25
,,교육비특별회계전입금수입,교육비특별회계전입금수입,2087483096.25
,,,교육비특별회계전입금,2087483096.25
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,9369933.125
,,학교회계간이전수입,학교회계간이전수입,5443408.125
,,,학교발전기금전입금,487500.0
,,,다른학교회계전입금,4884033.125
,,,기타학교회계전입금,2740625.0
,,기타공공이전수입,기타공공이전수입,3795275.0
,,,기타공공지원금,1126525.0
자체수입,자체수입,자체수입,자체수입,159675900.0
,학부모부담수입,학부모부담수입,학부모부담수입,144172655.625
,,등록금,등록금,131250.0
,,,학교운영지원비,50156538.25
,,수익자부담수입,수익자부담수입,192085030.0
,,,급식비,36510102.5
,,,방과후학교활동비,48500831.25
,,,현장체험학습비,17308406.875
,,,청소년단체활동비,0.0
,,,졸업앨범비,55737210.0
,,,교과서비,26473346.875
,,,기숙사비,0.0
,,,기타수익자부담수입,17626983.75
,,,누리과정비,2671410.625
,,,교복구입비,1124100.0
,,,운동부운영비,22130633.75
,,,돌봄활동운영비,8578310.0
,행정활동수입,행정활동수입,행정활동수입,16008063.125
,,사용료및수수료,사용료및수수료,1620062.5
,,,사용료및수수료,1620062.5
,,자산수입,자산수입,6350862.5
,,,자산매각대,3257112.5
,,적립금처분수입,적립금처분수입,2112913.875
,,,적립금처분수입,185962.5
,,보증금회수,보증금회수,185962.5
,,,보증금회수,0.0
,,기타행정활동수입,기타행정활동수입,10757319.375
,,,지난년도수입,0.0
,,,이자수입,6896691.875
,,,기타행정활동수입,3860627.5
기타수입,기타수입,기타수입,기타수입,128966820.0
,전년도이월금,전년도이월금,전년도이월금,130893771.375
,,순세계잉여금,순세계잉여금,10523169.375
,,,순세계잉여금,11911815.75
,,정산대상재원사용잔액,정산대상재원사용잔액,789315.0
,,,정산대상재원사용잔액,9640683.25
,,이월금,이월금,127582313.875
,,,이월사업비,119659267.0
세입합계,세입합계,세입합계,세입합계,1998580786.375
