정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,26815060.0
,교직원보수,0.0
,기타 교직원 보수,15465600.0
,교직원 복지 및 역량강화,11349460.0
학생복지/교육격차 해소,학생복지/교육격차 해소,427221950.0
,급식 관리,104163950.0
,기숙사 관리,0.0
,보건관리,109967690.0
,교육격차 해소,96915660.0
,학생복지,116174650.0
기본적 교육활동,기본적 교육활동,275954410.0
,교과 활동,211783860.0
,창의적 체험활동,60260550.0
,자유학기(년) 활동,3910000.0
선택적 교육활동,선택적 교육활동,192832130.0
,방과후학교 운영,159618510.0
,직업교육,0.0
,국제교육,0.0
,독서활동,28213740.0
,교기육성,0.0
,기타 선택적 교육활동,4999880.0
교육활동 지원,교육활동 지원,119993030.0
,교무업무 운영,23176350.0
,생활지도 운영,2410920.0
,연구학교 운영,14515500.0
,학습지원실 운영,46865980.0
,교육여건 개선,33024280.0
학교 일반운영,학교 일반운영,532693610.0
,학교기관운영,143538500.0
,시설 장비 유지,381895740.0
,학교운영 협력,7259370.0
학교시설 확충,학교시설 확충,43063000.0
,시설확충 및 개선,43063000.0
학교 재무활동,학교 재무활동,4575140.0
,반환금,4575140.0
,예비비,0.0
세출합계,세출합계,1623148330.0
