정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,14077160.0
,교직원보수,0.0
,기타 교직원 보수,1532932.5
,교직원 복지 및 역량강화,12544227.5
학생복지/교육격차 해소,학생복지/교육격차 해소,375166207.5
,급식 관리,233117847.5
,기숙사 관리,0.0
,보건관리,53975825.0
,교육격차 해소,2351875.0
,학생복지,85720660.0
기본적 교육활동,기본적 교육활동,123016524.25
,교과 활동,86359096.75
,창의적 체험활동,34333780.0
,자유학기(년) 활동,2323647.5
선택적 교육활동,선택적 교육활동,131396093.5
,방과후학교 운영,101186361.0
,직업교육,0.0
,국제교육,0.0
,독서활동,13045535.0
,교기육성,6387645.0
,기타 선택적 교육활동,10776552.5
교육활동 지원,교육활동 지원,123171560.0
,교무업무 운영,5488282.5
,생활지도 운영,14343295.0
,연구학교 운영,28733297.5
,학습지원실 운영,20091955.0
,교육여건 개선,54514730.0
학교 일반운영,학교 일반운영,157639796.25
,학교기관운영,34436242.5
,시설 장비 유지,120614141.25
,학교운영 협력,2589412.5
학교시설 확충,학교시설 확충,9555000.0
,시설확충 및 개선,9555000.0
학교 재무활동,학교 재무활동,4937895.0
,반환금,4937895.0
,예비비,0.0
세출합계,세출합계,938960236.5
