과목,과목.1,과목.2,과목.3,합계금액
장,관,항,목,0.0
이전수입,이전수입,이전수입,이전수입,23764705655.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,22000000.0
,,국고보조금,국고보조금,22000000.0
,,,국고보조금,22000000.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,980921215.0
,,비법정이전수입,비법정이전수입,355521340.0
,,,광역지방자치단체전입금,313733180.0
,,,기초지방자치단체전입금,41788160.0
,,교육경비보조금,교육경비보조금,625399875.0
,,,광역지방자치단체전입금,64383280.0
,,,기초지방자치단체전입금,561016595.0
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,21062330990.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,21062330990.0
,,,교육비특별회계전입금,21062330990.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,1699453450.0
,,학교회계간이전수입,학교회계간이전수입,1683577360.0
,,,학교발전기금전입금,526323540.0
,,,다른학교회계전입금,1157253820.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,7326090.0
,,,기타공공지원금,7326090.0
자체수입,자체수입,자체수입,자체수입,2065050283.0
,학부모부담수입,학부모부담수입,학부모부담수입,1972179260.0
,,등록금,등록금,8550000.0
,,,학교운영지원비,10750224982.0
,,수익자부담수입,수익자부담수입,12252815944.0
,,,급식비,7549636890.0
,,,방과후학교활동비,1292325610.0
,,,현장체험학습비,6219767510.0
,,,청소년단체활동비,1273164770.0
,,,졸업앨범비,3070779794.0
,,,교과서비,1096153014.0
,,,기숙사비,87671490.0
,,,기타수익자부담수입,388213480.0
,,,누리과정비,0.0
,,,교복구입비,34224540.0
,,,운동부운영비,136584990.0
,,,돌봄활동운영비,1360089410.0
,행정활동수입,행정활동수입,행정활동수입,134557153.0
,,사용료및수수료,사용료및수수료,30929370.0
,,,사용료및수수료,31184370.0
,,자산수입,자산수입,0.0
,,,자산매각대,0.0
,,적립금처분수입,적립금처분수입,461038298.0
,,,적립금처분수입,321071620.0
,,보증금회수,보증금회수,321071620.0
,,,보증금회수,1384000.0
,,기타행정활동수입,기타행정활동수입,71875653.0
,,,지난년도수입,0.0
,,,이자수입,48175888.0
,,,기타행정활동수입,22315765.0
기타수입,기타수입,기타수입,기타수입,172907507.0
,전년도이월금,전년도이월금,전년도이월금,311490185.0
,,순세계잉여금,순세계잉여금,107874984.0
,,,순세계잉여금,195801787.0
,,정산대상재원사용잔액,정산대상재원사용잔액,52478155.0
,,,정산대상재원사용잔액,278846512.0
,,이월금,이월금,340234475.0
,,,이월사업비,110330999.0
세입합계,세입합계,세입합계,세입합계,16826594081.0
