과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,2267611410.0
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,47804263.333333336
,,비법정이전수입,비법정이전수입,0.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,0.0
,,교육경비보조금,교육경비보조금,47804263.333333336
,,,광역지방자치단체전입금,1388333.3333333333
,,,기초지방자치단체전입금,46415930.0
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,2214648770.0
,,교육비특별회계전입금수입,교육비특별회계전입금수입,2214648770.0
,,,교육비특별회계전입금,2214648770.0
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,5158376.666666667
,,학교회계간이전수입,학교회계간이전수입,2666666.6666666665
,,,학교발전기금전입금,2666666.6666666665
,,,다른학교회계전입금,0.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,2491710.0
,,,기타공공지원금,2491710.0
자체수입,자체수입,자체수입,자체수입,306768858.0
,학부모부담수입,학부모부담수입,학부모부담수입,297694013.3333333
,,등록금,등록금,0.0
,,,학교운영지원비,0.0
,,수익자부담수입,수익자부담수입,297694013.3333333
,,,급식비,46217680.0
,,,방과후학교활동비,177582556.66666666
,,,현장체험학습비,16761160.0
,,,청소년단체활동비,1640966.6666666667
,,,졸업앨범비,12313380.0
,,,교과서비,0.0
,,,기숙사비,0.0
,,,기타수익자부담수입,973600.0
,,,누리과정비,0.0
,,,교복구입비,0.0
,,,운동부운영비,29062646.666666668
,,,돌봄활동운영비,13142023.333333334
,행정활동수입,행정활동수입,행정활동수입,9074844.666666666
,,사용료및수수료,사용료및수수료,2043330.0
,,,사용료및수수료,2043330.0
,,자산수입,자산수입,1323166.6666666667
,,,자산매각대,1323166.6666666667
,,적립금처분수입,적립금처분수입,0.0
,,,적립금처분수입,0.0
,,보증금회수,보증금회수,0.0
,,,보증금회수,0.0
,,기타행정활동수입,기타행정활동수입,5708348.0
,,,지난년도수입,0.0
,,,이자수입,2540891.3333333335
,,,기타행정활동수입,3167456.6666666665
기타수입,기타수입,기타수입,기타수입,6370626.666666667
,전년도이월금,전년도이월금,전년도이월금,6370626.666666667
,,순세계잉여금,순세계잉여금,6370626.666666667
,,,순세계잉여금,6370626.666666667
,,정산대상재원사용잔액,정산대상재원사용잔액,0.0
,,,정산대상재원사용잔액,0.0
,,이월금,이월금,0.0
,,,이월사업비,0.0
세입합계,세입합계,세입합계,세입합계,2580750894.6666665
