과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,1633258881.9682539
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,1750000.0
,,국고보조금,국고보조금,1750000.0
,,,국고보조금,1750000.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,106887995.3968254
,,비법정이전수입,비법정이전수입,55163514.047619045
,,,광역지방자치단체전입금,4546153.650793651
,,,기초지방자치단체전입금,50617360.396825396
,,교육경비보조금,교육경비보조금,51724481.34920635
,,,광역지방자치단체전입금,269578.25396825396
,,,기초지방자치단체전입금,51454903.0952381
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,1488057689.3809524
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1487912927.4761906
,,,교육비특별회계전입금,1487912927.4761906
,,기금회계전입금수입,기금회계전입금수입,144761.90476190476
,,,기금회계전입금,144761.90476190476
,기타이전수입,기타이전수입,기타이전수입,36563197.190476194
,,학교회계간이전수입,학교회계간이전수입,30803722.587301586
,,,학교발전기금전입금,9425224.015873017
,,,다른학교회계전입금,21378498.57142857
,,,기타학교회계전입금,1462633.3333333333
,,기타공공이전수입,기타공공이전수입,5419506.349206349
,,,기타공공지원금,4127349.206349206
자체수입,자체수입,자체수입,자체수입,91018730.36507936
,학부모부담수입,학부모부담수입,학부모부담수입,86394539.52380952
,,등록금,등록금,257862.0634920635
,,,학교운영지원비,137801165.2222222
,,수익자부담수입,수익자부담수입,219546305.34920636
,,,급식비,131265828.73015873
,,,방과후학교활동비,34855853.015873015
,,,현장체험학습비,79187056.34920634
,,,청소년단체활동비,19842622.222222224
,,,졸업앨범비,38631117.41269841
,,,교과서비,14164763.650793651
,,,기숙사비,3110331.222222222
,,,기타수익자부담수입,1315059.2063492064
,,,누리과정비,147682.38095238095
,,,교복구입비,1676597.142857143
,,,운동부운영비,10478250.952380951
,,,돌봄활동운영비,17734675.07936508
,행정활동수입,행정활동수입,행정활동수입,5425016.873015873
,,사용료및수수료,사용료및수수료,1273583.8095238095
,,,사용료및수수료,1273583.8095238095
,,자산수입,자산수입,579182.6984126985
,,,자산매각대,579182.6984126985
,,적립금처분수입,적립금처분수입,4388405.428571428
,,,적립금처분수입,3706203.9682539683
,,보증금회수,보증금회수,3732182.698412698
,,,보증금회수,82629.52380952382
,,기타행정활동수입,기타행정활동수입,3056826.5555555555
,,,지난년도수입,0.0
,,,이자수입,1158803.8095238095
,,,기타행정활동수입,1841371.9523809524
기타수입,기타수입,기타수입,기타수입,46087784.20634921
,전년도이월금,전년도이월금,전년도이월금,46713334.87301587
,,순세계잉여금,순세계잉여금,16726215.142857144
,,,순세계잉여금,17137840.936507937
,,정산대상재원사용잔액,정산대상재원사용잔액,2644607.412698413
,,,정산대상재원사용잔액,5956329.777777778
,,이월금,이월금,30456533.76190476
,,,이월사업비,29247001.53968254
세입합계,세입합계,세입합계,세입합계,1505650490.7777777
