정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,298261158.63492066
,교직원보수,193143690.47619048
,기타 교직원 보수,77444923.49206349
,교직원 복지 및 역량강화,27672544.666666668
학생복지/교육격차 해소,학생복지/교육격차 해소,610043967.6190476
,급식 관리,469693845.38095236
,기숙사 관리,22463130.15873016
,보건관리,60241760.79365079
,교육격차 해소,5584843.666666667
,학생복지,52060387.61904762
기본적 교육활동,기본적 교육활동,267515737.17460316
,교과 활동,198994606.95238096
,창의적 체험활동,64178511.809523806
,자유학기(년) 활동,4342618.412698412
선택적 교육활동,선택적 교육활동,223515755.6031746
,방과후학교 운영,142735576.98412699
,직업교육,0.0
,국제교육,383592.3968253968
,독서활동,24851003.492063493
,교기육성,40738144.76190476
,기타 선택적 교육활동,14807437.968253968
교육활동 지원,교육활동 지원,235656262.58730158
,교무업무 운영,34104392.0952381
,생활지도 운영,28013258.682539683
,연구학교 운영,14682869.650793651
,학습지원실 운영,31062540.095238097
,교육여건 개선,127793202.06349206
학교 일반운영,학교 일반운영,290975123.1111111
,학교기관운영,85667892.49206349
,시설 장비 유지,201638417.92063493
,학교운영 협력,3668812.698412698
학교시설 확충,학교시설 확충,57379251.26984127
,시설확충 및 개선,57379251.26984127
학교 재무활동,학교 재무활동,7931293.492063492
,반환금,7929706.19047619
,예비비,1587.3015873015872
세출합계,세출합계,1991278549.4920635
