정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,38027000.0
,교직원보수,0.0
,기타 교직원 보수,33837000.0
,교직원 복지 및 역량강화,4190000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,98255000.0
,급식 관리,76672000.0
,기숙사 관리,0.0
,보건관리,16963000.0
,교육격차 해소,0.0
,학생복지,4620000.0
기본적 교육활동,기본적 교육활동,103497000.0
,교과 활동,59560000.0
,창의적 체험활동,43937000.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,323648000.0
,방과후학교 운영,304488000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,13560000.0
,교기육성,2100000.0
,기타 선택적 교육활동,3500000.0
교육활동 지원,교육활동 지원,54848000.0
,교무업무 운영,3760000.0
,생활지도 운영,20088000.0
,연구학교 운영,0.0
,학습지원실 운영,19500000.0
,교육여건 개선,11500000.0
학교 일반운영,학교 일반운영,147728000.0
,학교기관운영,47570000.0
,시설 장비 유지,97018000.0
,학교운영 협력,3140000.0
학교시설 확충,학교시설 확충,6000000.0
,시설확충 및 개선,6000000.0
학교 재무활동,학교 재무활동,3000000.0
,반환금,0.0
,예비비,3000000.0
세출합계,세출합계,775003000.0
