정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,20442500.0
,교직원보수,0.0
,기타 교직원 보수,13740000.0
,교직원 복지 및 역량강화,6702500.0
학생복지/교육격차 해소,학생복지/교육격차 해소,146780750.0
,급식 관리,118642750.0
,기숙사 관리,0.0
,보건관리,9431750.0
,교육격차 해소,0.0
,학생복지,18706250.0
기본적 교육활동,기본적 교육활동,73196000.0
,교과 활동,30875750.0
,창의적 체험활동,42320250.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,19472500.0
,방과후학교 운영,11268750.0
,직업교육,0.0
,국제교육,0.0
,독서활동,8203750.0
,교기육성,0.0
,기타 선택적 교육활동,0.0
교육활동 지원,교육활동 지원,64571000.0
,교무업무 운영,25357500.0
,생활지도 운영,2631250.0
,연구학교 운영,0.0
,학습지원실 운영,6547500.0
,교육여건 개선,30034750.0
학교 일반운영,학교 일반운영,118007250.0
,학교기관운영,42538500.0
,시설 장비 유지,71066000.0
,학교운영 협력,4402750.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,2795500.0
,반환금,439000.0
,예비비,2356500.0
세출합계,세출합계,445265500.0
