정책단위사업,정책단위사업.1,합계금액
정책사업,단위사업,0.0
인적자원 운용,인적자원 운용,28582270.0
,교직원보수,0.0
,기타 교직원 보수,20432640.0
,교직원 복지 및 역량강화,8149630.0
학생복지/교육격차 해소,학생복지/교육격차 해소,467658010.0
,급식 관리,382072210.0
,기숙사 관리,0.0
,보건관리,29333880.0
,교육격차 해소,4544000.0
,학생복지,51707920.0
기본적 교육활동,기본적 교육활동,469535750.0
,교과 활동,389177410.0
,창의적 체험활동,75958340.0
,자유학기(년) 활동,4400000.0
선택적 교육활동,선택적 교육활동,229668550.0
,방과후학교 운영,123230760.0
,직업교육,0.0
,국제교육,0.0
,독서활동,38189260.0
,교기육성,2256360.0
,기타 선택적 교육활동,65992170.0
교육활동 지원,교육활동 지원,189735540.0
,교무업무 운영,21021480.0
,생활지도 운영,27516150.0
,연구학교 운영,0.0
,학습지원실 운영,8087140.0
,교육여건 개선,133110770.0
학교 일반운영,학교 일반운영,643944850.0
,학교기관운영,239501540.0
,시설 장비 유지,394649960.0
,학교운영 협력,9793350.0
학교시설 확충,학교시설 확충,73530570.0
,시설확충 및 개선,73530570.0
학교 재무활동,학교 재무활동,67020160.0
,반환금,67020160.0
,예비비,0.0
세출합계,세출합계,2169675700.0
