정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,53572000
,교직원보수,0
,기타 교직원 보수,48600000
,교직원 복지 및 역량강화,4972000
학생복지/교육격차 해소,학생복지/교육격차 해소,122144000
,급식 관리,69386000
,기숙사 관리,0
,보건관리,18479000
,교육격차 해소,0
,학생복지,34279000
기본적 교육활동,기본적 교육활동,98571000
,교과 활동,72051000
,창의적 체험활동,26520000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,72200000
,방과후학교 운영,0
,직업교육,0
,국제교육,0
,독서활동,20000000
,교기육성,0
,기타 선택적 교육활동,52200000
교육활동 지원,교육활동 지원,244170000
,교무업무 운영,20905000
,생활지도 운영,72677000
,연구학교 운영,126000000
,학습지원실 운영,16500000
,교육여건 개선,8088000
학교 일반운영,학교 일반운영,398870000
,학교기관운영,127082000
,시설 장비 유지,269168000
,학교운영 협력,2620000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,11000000
,반환금,10000000
,예비비,1000000
세출합계,세출합계,1000527000
