정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,75134988
,교직원보수,0
,기타 교직원 보수,44955190
,교직원 복지 및 역량강화,30179798
학생복지/교육격차 해소,학생복지/교육격차 해소,742809780
,급식 관리,604788750
,기숙사 관리,0
,보건관리,56970490
,교육격차 해소,0
,학생복지,81050540
기본적 교육활동,기본적 교육활동,307030835
,교과 활동,183073805
,창의적 체험활동,123957030
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,152173271
,방과후학교 운영,8239600
,직업교육,0
,국제교육,0
,독서활동,28250050
,교기육성,0
,기타 선택적 교육활동,115683621
교육활동 지원,교육활동 지원,422760629
,교무업무 운영,103411319
,생활지도 운영,45112300
,연구학교 운영,88851730
,학습지원실 운영,13154590
,교육여건 개선,172230690
학교 일반운영,학교 일반운영,672671300
,학교기관운영,160876910
,시설 장비 유지,505726840
,학교운영 협력,6067550
학교시설 확충,학교시설 확충,123194200
,시설확충 및 개선,123194200
학교 재무활동,학교 재무활동,1822280
,반환금,1822280
,예비비,0
세출합계,세출합계,2497597283
