정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,66366480
,교직원보수,0
,기타 교직원 보수,49776780
,교직원 복지 및 역량강화,16589700
학생복지/교육격차 해소,학생복지/교육격차 해소,774867651
,급식 관리,573972490
,기숙사 관리,0
,보건관리,111884550
,교육격차 해소,33128031
,학생복지,55882580
기본적 교육활동,기본적 교육활동,391276220
,교과 활동,257753720
,창의적 체험활동,133522500
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,448826095
,방과후학교 운영,394831865
,직업교육,0
,국제교육,0
,독서활동,53994230
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,739229530
,교무업무 운영,98467790
,생활지도 운영,131176020
,연구학교 운영,0
,학습지원실 운영,38197400
,교육여건 개선,471388320
학교 일반운영,학교 일반운영,631967850
,학교기관운영,51958900
,시설 장비 유지,579783950
,학교운영 협력,225000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,50028670
,반환금,50028670
,예비비,0
세출합계,세출합계,3102562496
