정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,162199680
,교직원보수,0
,기타 교직원 보수,142308580
,교직원 복지 및 역량강화,19891100
학생복지/교육격차 해소,학생복지/교육격차 해소,661054910
,급식 관리,607727430
,기숙사 관리,0
,보건관리,44948480
,교육격차 해소,0
,학생복지,8379000
기본적 교육활동,기본적 교육활동,359082180
,교과 활동,345038500
,창의적 체험활동,14043680
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,513799950
,방과후학교 운영,355643150
,직업교육,0
,국제교육,0
,독서활동,62000950
,교기육성,52929710
,기타 선택적 교육활동,43226140
교육활동 지원,교육활동 지원,286918640
,교무업무 운영,73653950
,생활지도 운영,67983690
,연구학교 운영,0
,학습지원실 운영,66691800
,교육여건 개선,78589200
학교 일반운영,학교 일반운영,286041710
,학교기관운영,45224510
,시설 장비 유지,240505680
,학교운영 협력,311520
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,2364360
,반환금,2364360
,예비비,0
세출합계,세출합계,2271461430
