FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,PBAN_EXCP_RSN
사립,3,경기도 평택시,경기도평택교육지원청,경기도교육청,J100000412,N,복식부기,결산세입,5672080,31172120,0,121866870,619899300,S090004005,6902080200,J100000001,10,N,한광여자중학교,중,3.0,
사립,3,경기도 평택시,경기도평택교육지원청,경기도교육청,J100000412,N,복식부기,결산세입,33853860,9403830,0,47840120,10000000,S090004006,6042872620,J100000001,10,N,한광중학교,,,
사립,3,경기도 평택시,경기도평택교육지원청,경기도교육청,J100000412,N,복식부기,결산세입,8772320,48744890,0,57642470,20100000,S090004008,7627968440,J100000001,10,N,효명중학교,중,3.0,
사립,3,경기도 포천시,경기도포천교육지원청,경기도교육청,J100000426,N,복식부기,결산세입,6672350,2129550,0,41854420,8018710,S090004168,3696006170,J100000001,10,N,동남중학교,중,3.0,
사립,3,경기도 화성시,경기도화성오산교육지원청,경기도교육청,J100000432,N,복식부기,결산세입,4244799,2533340,0,22846060,35465490,S090004266,3083160650,J100000001,10,N,비봉중학교,중,3.0,
사립,3,경기도 화성시,경기도화성오산교육지원청,경기도교육청,J100000432,N,미지정,결산세입,1287461660,20132350,0,50162600,11500000,S090004267,4667671160,J100000001,10,N,삼괴중학교,중,3.0,
사립,3,경기도 화성시,경기도화성오산교육지원청,경기도교육청,J100000432,N,복식부기,결산세입,328625320,12141130,0,58141900,242158560,S090004268,2227657790,J100000001,10,N,서신중학교,중,3.0,
사립,3,경기도 화성시,경기도화성오산교육지원청,경기도교육청,J100000432,N,복식부기,결산세입,53276510,11340582,0,36847600,691604960,S090004270,4032769910,J100000001,10,N,송산중학교,중,3.0,
사립,3,경기도 화성시,경기도화성오산교육지원청,경기도교육청,J100000432,N,미지정,결산세입,90551060,56008190,0,51078000,38168490,S090004271,6927960820,J100000001,10,N,안용중학교,중,3.0,
사립,3,경기도 오산시,경기도화성오산교육지원청,경기도교육청,J100000432,N,복식부기,결산세입,10200670,3812770,0,72726720,16000000,S090004274,7565180980,J100000001,10,N,오산중학교,중,3.0,
사립,3,경기도 화성시,경기도화성오산교육지원청,경기도교육청,J100000432,N,미지정,결산세입,1802850,29726300,0,44924690,19500000,S090004277,4367007630,J100000001,10,N,장안여자중학교,중,3.0,
사립,3,경기도 화성시,경기도화성오산교육지원청,경기도교육청,J100000432,N,복식부기,결산세입,2854090,9664920,0,63911440,9852140,S090004280,3299970690,J100000001,10,N,화도중학교,,,
사립,3,경기도 화성시,경기도화성오산교육지원청,경기도교육청,J100000432,N,복식부기,결산세입,6522690,7496390,0,53082630,0,S090004281,3931191610,J100000001,10,N,화성중학교,중,3.0,
사립,3,경기도 용인시 처인구,경기도용인교육지원청,경기도교육청,J100000364,N,미지정,결산세입,3082380,21743202,0,315933820,8000000,S090004894,2670462250,J100000001,10,N,헌산중학교,,,
사립,3,경기도 성남시 분당구,경기도성남교육지원청,경기도교육청,J100000233,N,미지정,결산세입,14570010,4968098,0,49901010,149917700,S090004984,2534197340,J100000001,10,N,이우중학교,중,3.0,
사립,3,경기도 화성시,경기도화성오산교육지원청,경기도교육청,J100000432,N,복식부기,결산세입,6935480,1836970,0,244341400,100000,S090005022,1829509550,J100000001,10,N,두레자연중학교,중,3.0,
사립,3,경기도 안성시,경기도안성교육지원청,경기도교육청,J100000287,N,복식부기,결산세입,104435460,5278020,0,8076000,57080780,S090005321,2334538380,J100000001,10,N,한겨레중학교,중,3.0,
사립,3,경기도 가평군,경기도가평교육지원청,경기도교육청,J100000086,N,복식부기,결산세입,1008660286,71009860,0,5438404754,202173900,S090005419,2429477940,J100000001,10,N,청심국제중학교,,,
사립,3,경기도 수원시 영통구,경기도수원교육지원청,경기도교육청,J100000250,N,복식부기,결산세입,252964420,14804097,0,2946115350,266809870,S090005521,669106610,J100000001,10,N,중앙기독중학교,,,
