SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
,사립,4,전라남도 순천시,,전라남도교육청,전라남도교육청,Q100000001,746626000,N,1392190740,복식부기,결산세출,428203820,354292280,720090490,199745290,1749002720,S140000255,5468257860,15775191.4,Q100000001,15,일반고등학교,N,순천효천고등학교
고,사립,4,전라남도 여수시,4.0,전라남도교육청,전라남도교육청,Q100000001,145716260,N,1129752240,미지정,결산세출,531638890,355032130,1119719710,1765284130,1480666040,S140000263,6099440150,16836332.7,Q100000001,15,특성화고등학교,N,여수공업고등학교
,사립,4,전라남도 여수시,,전라남도교육청,전라남도교육청,Q100000001,76405000,N,1803501370,복식부기,결산세출,628812490,157122390,816023780,617908780,1362649710,S140000267,6224527960,16186913.4,Q100000001,15,특성화고등학교,N,여수정보과학고등학교
고,사립,4,전라남도 여수시,4.0,전라남도교육청,전라남도교육청,Q100000001,134663500,N,0,복식부기,결산세출,447499530,489220470,224670950,130904740,1313250390,S140000268,4916365500,13432587.9,Q100000001,15,일반고등학교,N,여수중앙여자고등학교
,사립,4,전라남도 여수시,,전라남도교육청,전라남도교육청,Q100000001,81506000,N,197425980,복식부기,결산세출,255174850,342717050,172398190,172484630,974578400,S140000270,3046681770,13689208.5,Q100000001,15,일반고등학교,N,여양고등학교
고,사립,4,전라남도 영광군,4.0,전라남도교육청,전라남도교육청,Q100000001,224674000,N,525016410,미지정,결산세출,251968410,140849900,38120840,138368960,405680700,S140000280,1374286520,68865905.3,Q100000001,15,특성화고등학교,N,영산성지고등학교
고,사립,4,전라남도 나주시,4.0,전라남도교육청,전라남도교육청,Q100000001,1434779010,N,531302910,복식부기,결산세출,325928970,1136237045,262139270,225129651,937414326,S140000282,2213467810,29079831.2,Q100000001,15,일반고등학교,N,영산고등학교
,사립,4,전라남도 영암군,,전라남도교육청,전라남도교육청,Q100000001,85363000,N,663055650,복식부기,결산세출,342553520,276322590,32925120,46092030,903562910,S140000287,2478935100,24023930.0,Q100000001,15,일반고등학교,N,영암여자고등학교
고,사립,4,전라남도 목포시,4.0,전라남도교육청,전라남도교육청,Q100000001,132409000,N,342749420,복식부기,결산세출,436341090,362517950,193754170,199381090,1144663050,S140000288,4028430330,14400518.1,Q100000001,15,일반고등학교,N,영흥고등학교
,사립,4,전라남도 보성군,,전라남도교육청,전라남도교육청,Q100000001,218326790,N,2286858900,복식부기,결산세출,290314570,684679180,162290470,88421620,685965480,S140000289,1840854100,39356673.6,Q100000001,15,일반고등학교,N,예당고등학교
