SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,전라남도 나주시,,전라남도교육청,전라남도교육청,Q100000001,2050000,N,717255000,복식부기,예산세출,245030000,54960000,225124000,47780000,342092000,S140000173,1372642000,33043219.8,Q100000001,15,일반고등학교,N,광남고등학교,
고,사립,4,전라남도 광양시,4.0,전라남도교육청,전라남도교육청,Q100000001,1000000,N,0,복식부기,예산세출,718787000,21017000,248988000,582979000,2539533000,S140000177,4904329000,14426612.8,Q100000001,15,자율고등학교,N,광양제철고등학교,
,사립,4,전라남도 나주시,,전라남도교육청,전라남도교육청,Q100000001,4100000,N,0,복식부기,예산세출,311365000,101650000,130881000,163740000,819135000,S140000182,3171075000,13133927.4,Q100000001,15,일반고등학교,N,금성고등학교,
,사립,4,전라남도 나주시,,전라남도교육청,전라남도교육청,Q100000001,5000000,N,19471000,복식부기,예산세출,373577000,117156000,44700000,238208000,854172000,S140000185,3313389000,14027324.9,Q100000001,15,특성화고등학교,N,나주공업고등학교,
고,사립,4,전라남도 화순군,4.0,전라남도교육청,전라남도교육청,Q100000001,3789000,N,0,복식부기,예산세출,447749000,57930000,138942000,259339000,2578337000,S140000188,3366093000,14425640.0,Q100000001,15,일반고등학교,N,능주고등학교,
,사립,4,전라남도 목포시,,전라남도교육청,전라남도교육청,Q100000001,4081000,N,0,복식부기,예산세출,452548000,110950000,191530000,315933000,1589837000,S140000199,4619127000,15112045.6,Q100000001,15,일반고등학교,N,목포덕인고등학교,
고,사립,4,전라남도 목포시,4.0,전라남도교육청,전라남도교육청,Q100000001,5000000,N,23298000,복식부기,예산세출,411040000,113482000,311572000,244526000,1052596000,S140000200,3763442000,12579524.4,Q100000001,15,일반고등학교,N,목포마리아회고등학교,
고,사립,4,전라남도 목포시,4.0,전라남도교육청,전라남도교육청,Q100000001,1000000,N,25439000,복식부기,예산세출,207611000,48055000,16200000,73309000,275266000,S140000202,2863428000,19720831.5,Q100000001,15,특성화고등학교,N,목포성신고등학교,
,사립,4,전라남도 목포시,,전라남도교육청,전라남도교육청,Q100000001,4662000,N,0,복식부기,예산세출,412527000,112430000,18846000,121428000,708407000,S140000204,3374504000,14103276.0,Q100000001,15,특성화고등학교,N,목포중앙고등학교,
,사립,4,전라남도 목포시,,전라남도교육청,전라남도교육청,Q100000001,5000000,N,0,복식부기,예산세출,420137000,111342000,33510000,195381000,722318000,S140000206,5400360000,14320266.1,Q100000001,15,특성화고등학교,N,목포여자상업고등학교,
,사립,4,전라남도 목포시,,전라남도교육청,전라남도교육청,Q100000001,3000000,N,6000000,복식부기,예산세출,356364000,124470000,15300000,223670000,1244806000,S140000208,4053284000,11140284.7,Q100000001,15,일반고등학교,N,목포정명여자고등학교,
,사립,4,전라남도 목포시,,전라남도교육청,전라남도교육청,Q100000001,3820000,N,0,복식부기,예산세출,369315000,84050000,241980000,254345000,1728490000,S140000211,4314022000,15142904.8,Q100000001,15,일반고등학교,N,목포혜인여자고등학교,
,사립,4,전라남도 목포시,,전라남도교육청,전라남도교육청,Q100000001,1500000,N,0,복식부기,예산세출,382410000,105670000,329724000,275868000,1397291000,S140000212,4527598000,14904588.1,Q100000001,15,일반고등학교,N,목포홍일고등학교,
,사립,4,전라남도 목포시,,전라남도교육청,전라남도교육청,Q100000001,4500000,N,0,복식부기,예산세출,435218000,84870000,125530000,215460000,1332830000,S140000215,3907697000,12436059.1,Q100000001,15,일반고등학교,N,문태고등학교,
,사립,4,전라남도 무안군,,전라남도교육청,전라남도교육청,Q100000001,3715000,N,0,복식부기,예산세출,344866000,112326000,13264000,149050000,961623000,S140000217,2658696000,11820445.7,Q100000001,15,일반고등학교,N,백제고등학교,
,사립,4,전라남도 보성군,,전라남도교육청,전라남도교육청,Q100000001,4001000,N,0,복식부기,예산세출,248450000,81293000,32825000,148240000,1011450000,S140000219,2877898000,14206958.1,Q100000001,15,일반고등학교,N,벌교고등학교,
,사립,4,전라남도 보성군,,전라남도교육청,전라남도교육청,Q100000001,1000000,N,0,복식부기,예산세출,179381000,39860000,4950000,22180000,162611000,S140000221,914994000,60226181.8,Q100000001,15,일반고등학교,N,벌교여자고등학교,
,사립,4,전라남도 순천시,,전라남도교육청,전라남도교육청,Q100000001,0,N,0,복식부기,예산세출,447616000,135415000,11100000,212779000,728965000,S140000241,4887165000,10831433.4,Q100000001,15,일반고등학교,N,순천강남여자고등학교,
,사립,4,전라남도 순천시,,전라남도교육청,전라남도교육청,Q100000001,2500000,N,0,복식부기,예산세출,530006000,114766000,222401000,262499000,1099001000,S140000245,4598649000,10014401.8,Q100000001,15,일반고등학교,N,순천금당고등학교,
고,사립,4,전라남도 순천시,4.0,전라남도교육청,전라남도교육청,Q100000001,5300000,N,0,복식부기,예산세출,584370000,101200000,186004000,215742000,1337454000,S140000246,4989787000,10847744.2,Q100000001,15,일반고등학교,N,순천매산고등학교,
