정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,31940000
,교직원보수,0
,기타 교직원 보수,30840000
,교직원 복지 및 역량강화,1100000
학생복지/교육격차 해소,학생복지/교육격차 해소,802427000
,급식 관리,674458000
,기숙사 관리,0
,보건관리,34389000
,교육격차 해소,100000
,학생복지,93480000
기본적 교육활동,기본적 교육활동,185671000
,교과 활동,23850000
,창의적 체험활동,161821000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,133535000
,방과후학교 운영,9500000
,직업교육,0
,국제교육,0
,독서활동,18580000
,교기육성,105455000
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,83924000
,교무업무 운영,50954000
,생활지도 운영,15670000
,연구학교 운영,0
,학습지원실 운영,17300000
,교육여건 개선,0
학교 일반운영,학교 일반운영,272178000
,학교기관운영,97749000
,시설 장비 유지,171549000
,학교운영 협력,2880000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,2000000
,반환금,0
,예비비,2000000
세출합계,세출합계,1511675000
