조사년도,개방ID,학교명,시도명,학제유형명,학교구분명,대학교개황_교원정원수,대학교개황_교원수,대학교개황_휴학생수,대학교개황_학교수,대학교개황_사무직원정원수,대학교개황_사무직원수,대학교개황_입학생수,대학교개황_입학정원수,대학교개황_주간휴학생수,대학교개황_주간6학년재적학생수,대학교개황_주간6학년재적여학생수,대학교개황_주간5학년재적학생수,대학교개황_주간5학년재적여학생수,대학교개황_주간4학년재적학생수,대학교개황_주간4학년재적여학생수,대학교개황_주간3학년재적학생수,대학교개황_주간3학년재적여학생수,대학교개황_주간2학년재적학생수,대학교개황_주간2학년재적여학생수,대학교개황_주간1학년재적학생수,대학교개황_주간1학년재적여학생수,대학교개황_주간여자휴학생수,대학교개황_주간여자재학생수,대학교개황_주간재학생수,대학교개황_주간입학정원수,대학교개황_분교학교수,대학교개황_건물면적,대학교개황_취업자수,대학교개황_재적여학생수,대학교개황_야간휴학생수,대학교개황_야간6학년재적학생수,대학교개황_야간6학년재적여학생수,대학교개황_야간5학년재적학생수,대학교개황_야간5학년재적여학생수,대학교개황_야간4학년재적학생수,대학교개황_야간4학년재적여학생수,대학교개황_야간3학년재적학생수,대학교개황_야간3학년재적여학생수,대학교개황_야간2학년재적학생수,대학교개황_야간2학년재적여학생수,대학교개황_야간1학년재적학생수,대학교개황_야간1학년재적여학생수,대학교개황_야간여자휴학생수,대학교개황_야간여자재학생수,대학교개황_야간재학생수,대학교개황_야간입학정원수,대학교개황_학과수,대학교개황_졸업생수,대학교개황_여자교원수,대학교개황_여자휴학생수,대학교개황_여자사무직원수,대학교개황_여자입학생수,대학교개황_여자졸업생수,대학교개황_여자재학생수,대학교개황_여자취업자수,대학교개황_재학생수,대학교개황_재적학생수
2009,2213175475,정석대학,서울,기술대학(전문대학과정),대학,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,4,0,0,0,0,0,0,0,0,18,1,20,0,0,1,34,0,1,18,0,0,0,0,0,0,0,34,38
2009,2230504155,서남대학교,전북,대학,대학,379,132,379,1,68,36,568,0,363,0,0,0,0,421,135,361,141,461,140,736,324,18,722,1616,0,0,70514,384,774,16,0,0,0,0,18,8,22,11,13,4,21,11,7,27,58,0,35,477,21,25,24,327,160,25,135,1674,2053
2009,2230504155,서남대학교,충남,대학,대학,75,40,449,0,68,4,439,0,449,0,0,0,0,89,25,182,44,290,30,665,192,29,262,777,0,0,0,56,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,68,1,29,2,188,13,29,10,777,1226
2009,2253215491,공주대학교,충남,대학,대학,764,529,5156,1,269,266,3393,0,5133,0,0,40,17,4300,2077,4662,1942,6139,1720,3772,1728,699,6785,13780,0,0,218025,2130,7597,23,0,0,0,0,97,71,47,41,11,1,0,0,5,108,132,0,144,3266,69,704,75,1649,1581,704,1061,13912,19068
2009,2269515275,동명대학교,부산,대학,대학,434,231,4335,1,140,125,2060,0,4335,0,0,0,0,827,381,1284,681,4011,706,3185,589,401,1956,4972,0,0,115761,1,2357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,45,401,24,534,0,401,0,4972,9307
2009,2319199979,한일장신대학교,전북,대학,대학,79,42,189,1,36,24,286,0,169,0,0,0,0,318,167,322,176,220,104,329,146,35,558,1020,0,0,40642,249,698,20,0,0,0,0,71,37,66,32,35,22,32,14,5,100,184,0,11,389,12,40,8,146,214,40,125,1204,1393
2009,2371954739,서강대학교,서울,대학,대학,564,288,3798,1,276,252,1875,0,3798,0,0,0,0,3227,1263,3367,1231,3003,914,2081,846,823,3431,7880,0,0,119541,976,4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1663,29,823,116,818,633,823,330,7880,11678
2009,2427061796,부산대학교,부산,대학,대학,1622,877,7862,1,496,549,4953,0,7861,0,0,28,18,7680,3474,6450,2749,9280,2436,5802,2418,1368,9727,21379,0,0,194890,2133,11095,1,0,0,0,0,30,0,31,0,0,0,0,0,0,0,60,0,145,4081,120,1368,233,2336,1853,1368,835,21439,29301
2009,2515871345,울산대학교,울산,대학,대학,760,992,7187,1,262,196,3269,0,7092,0,0,49,23,4951,1818,3996,1512,6972,1407,4051,1391,966,5185,12927,0,0,153214,1651,6323,95,0,0,0,0,143,53,135,52,110,32,99,35,23,149,392,0,44,2552,124,989,44,1352,1066,989,692,13319,20506
2009,2517215132,한서대학교,충남,대학,대학,379,234,3106,1,175,74,2054,0,2993,0,0,0,0,1917,909,2488,1005,3588,936,2057,900,315,3435,7057,0,0,117341,1191,3947,113,0,0,0,0,102,63,91,32,140,55,106,47,18,179,326,0,57,1605,49,333,10,954,777,333,564,7383,10489
