SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,30000000,19032000,0,47595000,1307000,S040000187,4934209000,E100000001,4,특성화고등학교,N,인천보건고등학교
,사립,4,인천광역시 중구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,10000000,8300000,0,63703000,299977000,S040000192,4860981000,E100000001,4,일반고등학교,N,광성고등학교
,사립,4,인천광역시 강화군,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,0,1500000,0,0,400000,S040000195,1516683000,E100000001,4,특성화고등학교,N,산마을고등학교
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,8000000,11972000,0,706877000,626937000,S040000198,7393954000,E100000001,4,일반고등학교,N,대인고등학교
고,사립,4,인천광역시 동구,4.0,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,130159000,35000000,0,440734000,258204000,S040000201,6876017000,E100000001,4,특성화고등학교,N,재능고등학교
,사립,4,인천광역시 강화군,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,8000000,2075000,0,0,29000000,S040000202,2390293000,E100000001,4,일반고등학교,N,덕신고등학교
,사립,4,인천광역시 동구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,35000000,6500000,0,649036000,384482000,S040000204,4655933000,E100000001,4,일반고등학교,N,동산고등학교
고,사립,4,인천광역시 부평구,4.0,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,0,12200000,0,55292000,4653000,S040000207,6091294000,E100000001,4,일반고등학교,N,명신여자고등학교
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,65000000,19000000,0,391102000,7000000,S040000209,5406575000,E100000001,4,특성화고등학교,N,인천금융고등학교
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,10000000,5000000,0,716874000,7000000,S040000210,7849140000,E100000001,4,일반고등학교,N,문일여자고등학교
고,사립,4,인천광역시 서구,4.0,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,40000000,35600000,0,112415000,8599000,S040000219,7171642000,E100000001,4,특성화고등학교,N,문곡고등학교
고,사립,4,인천광역시 강화군,4.0,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,예산세입,0,4500000,0,0,20000000,S040000225,3403811000,E100000001,4,특성화고등학교,N,한국글로벌셰프고등학교
