SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,N,미지정,결산세입,29695950,34831307,0,59077100,3666000,S040000187,7810816440,E100000001,4,특성화고등학교,N,인천보건고등학교,
,사립,4,인천광역시 중구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,74253430,17022330,0,169284900,281877410,S040000192,6727173500,E100000001,4,일반고등학교,N,광성고등학교,
,사립,4,인천광역시 강화군,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,54158780,4862548,0,244125690,500000,S040000195,2071311470,E100000001,4,특성화고등학교,N,산마을고등학교,
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,8045710,46338602,0,95994420,654671570,S040000198,11744041540,E100000001,4,일반고등학교,N,대인고등학교,
고,사립,4,인천광역시 동구,4.0,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,370430940,80120780,0,98713680,308679100,S040000201,11188753630,E100000001,4,특성화고등학교,N,재능고등학교,
,사립,4,인천광역시 강화군,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,11563270,12375430,0,92406670,57151660,S040000202,4088831380,E100000001,4,일반고등학교,N,덕신고등학교,
,사립,4,인천광역시 동구,,인천광역시교육청,인천광역시교육청,E100000001,N,미지정,결산세입,250628070,20862720,0,701120090,495649170,S040000204,7744337200,E100000001,4,일반고등학교,N,동산고등학교,
고,사립,4,인천광역시 부평구,4.0,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,940350,15712450,0,56975950,4172080,S040000207,7277452130,E100000001,4,일반고등학교,N,명신여자고등학교,
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,52409730,40869620,0,69509830,9950000,S040000209,8261643540,E100000001,4,특성화고등학교,N,인천금융고등학교,
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,63529060,12878380,0,76069310,6550000,S040000210,10545016320,E100000001,4,일반고등학교,N,문일여자고등학교,
고,사립,4,인천광역시 서구,4.0,인천광역시교육청,인천광역시교육청,E100000001,N,미지정,결산세입,112440580,27623148,0,72601380,14912352,S040000219,9576387570,E100000001,4,특성화고등학교,N,문곡고등학교,
고,사립,4,인천광역시 강화군,4.0,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,33628700,3846890,0,776043640,31975000,S040000225,5136580080,E100000001,4,특성화고등학교,N,한국글로벌셰프고등학교,
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,44477150,19491130,0,97170700,6276000,S040000230,10299296460,E100000001,4,일반고등학교,N,서인천고등학교,
고,사립,4,인천광역시 부평구,4.0,인천광역시교육청,인천광역시교육청,E100000001,N,복식부기,결산세입,39392620,23510760,0,248961350,230386540,S040000235,8369909880,E100000001,4,일반고등학교,N,세일고등학교,
