SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
고,사립,4,인천광역시 연수구,4.0,인천광역시교육청,인천광역시교육청,E100000001,94331290,N,0,미지정,결산세출,512386590,333056180,76958940,606154510,1054236050,S040000265,4888647340,11061068.6,E100000001,4,일반고등학교,N,박문여자고등학교,
고,사립,4,인천광역시 중구,4.0,인천광역시교육청,인천광역시교육청,E100000001,0,N,388003860,미지정,결산세출,445402340,798276860,449481240,333896240,659543520,S040000279,4232895550,16915508.4,E100000001,4,특성화고등학교,N,인천중앙여자고등학교,
고,사립,4,인천광역시 부평구,4.0,인천광역시교육청,인천광역시교육청,E100000001,19855700,N,1017308190,복식부기,결산세출,374483760,702671110,1235233420,1041012270,575219170,S040000284,3939651770,26192457.0,E100000001,4,특성화고등학교,N,인평자동차고등학교,
,사립,4,인천광역시 미추홀구,,인천광역시교육청,인천광역시교육청,E100000001,89811490,N,36855000,복식부기,결산세출,478011970,1531202610,223505570,393201980,1653210050,S040000285,4987955380,14609259.8,E100000001,4,일반고등학교,N,인하대학교사범대학부속고등학교,
고,사립,4,인천광역시 미추홀구,4.0,인천광역시교육청,인천광역시교육청,E100000001,45281690,N,767316620,미지정,결산세출,380476350,168165750,59852210,284413020,920767970,S040000286,5231111380,13833424.3,E100000001,4,일반고등학교,N,인항고등학교,
,사립,4,인천광역시 미추홀구,,인천광역시교육청,인천광역시교육청,E100000001,133425760,N,1296787600,미지정,결산세출,471033860,1002745270,1138781600,1046456540,754265100,S040000288,4543166810,20856752.1,E100000001,4,특성화고등학교,N,정석항공과학고등학교,
고,사립,4,인천광역시 부평구,4.0,인천광역시교육청,인천광역시교육청,E100000001,15165820,N,0,복식부기,결산세출,478890560,151436610,138640600,132020560,799211370,S040000291,4100602120,11917966.5,E100000001,4,일반고등학교,N,제일고등학교,
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,14912200,N,824307810,복식부기,결산세출,258670250,507067760,567838670,398588818,391840250,S040000295,2728448000,23043213.6,E100000001,4,특성화고등학교,N,한국주얼리고등학교,
고,사립,4,인천광역시 중구,4.0,인천광역시교육청,인천광역시교육청,E100000001,65107490,N,13000000,복식부기,결산세출,752210236,406365562,655744056,343379741,4921940219,S040002162,5542923860,19331310.8,E100000001,4,자율고등학교,N,인천하늘고등학교,
,사립,4,인천광역시 연수구,,인천광역시교육청,인천광역시교육청,E100000001,34796620,N,0,미지정,결산세출,711203237,541771210,327362166,302240292,1409853731,S040002244,4306043985,11478603.4,E100000001,4,자율고등학교,N,인천포스코고등학교,
