SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,5000000,N,0,복식부기,예산세출,402140000,227683000,24950000,84522000,289818000,S040000187,4129454000,13006466.0,E100000001,4,특성화고등학교,N,인천보건고등학교,
,사립,4,인천광역시 중구,,인천광역시교육청,인천광역시교육청,E100000001,4528000,N,0,복식부기,예산세출,351473000,116837000,79770000,130922000,335505000,S040000192,4129207000,9587042.8,E100000001,4,일반고등학교,N,광성고등학교,
,사립,4,인천광역시 강화군,,인천광역시교육청,인천광역시교육청,E100000001,2446000,N,167563000,복식부기,예산세출,123241000,48850000,19050000,55440000,17340000,S040000195,1185729000,38563309.5,E100000001,4,특성화고등학교,N,산마을고등학교,
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,8080000,N,12646000,복식부기,예산세출,494798000,98904000,52679000,314357000,1527756000,S040000198,6870663000,9080235.2,E100000001,4,일반고등학교,N,대인고등학교,
고,사립,4,인천광역시 동구,4.0,인천광역시교육청,인천광역시교육청,E100000001,60000000,N,0,복식부기,예산세출,733077000,254245000,8900000,227000000,517316000,S040000201,5896633000,14945963.1,E100000001,4,특성화고등학교,N,재능고등학교,
,사립,4,인천광역시 강화군,,인천광역시교육청,인천광역시교육청,E100000001,5370000,N,0,복식부기,예산세출,256220000,38705000,9320000,29610000,27755000,S040000202,2162867000,10811312.0,E100000001,4,일반고등학교,N,덕신고등학교,
,사립,4,인천광역시 동구,,인천광역시교육청,인천광역시교육청,E100000001,2000000,N,0,복식부기,예산세출,370652000,102431000,463401000,88015000,871969000,S040000204,4180860000,12207485.9,E100000001,4,일반고등학교,N,동산고등학교,
고,사립,4,인천광역시 부평구,4.0,인천광역시교육청,인천광역시교육청,E100000001,3000000,N,0,복식부기,예산세출,412403000,155773000,15500000,84710000,705275000,S040000207,4609027000,11251293.2,E100000001,4,일반고등학교,N,명신여자고등학교,
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,1000000,N,0,복식부기,예산세출,367356000,166432000,21549000,194506000,141658000,S040000209,4485879000,9959963.0,E100000001,4,특성화고등학교,N,인천금융고등학교,
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,3000000,N,0,복식부기,예산세출,451199000,135920000,19201000,206182000,873931000,S040000210,6843933000,8165900.5,E100000001,4,일반고등학교,N,문일여자고등학교,
고,사립,4,인천광역시 서구,4.0,인천광역시교육청,인천광역시교육청,E100000001,7449000,N,0,복식부기,예산세출,484471000,204464000,100396000,235836000,722733000,S040000219,5250086000,14936961.6,E100000001,4,특성화고등학교,N,문곡고등학교,
고,사립,4,인천광역시 강화군,4.0,인천광역시교육청,인천광역시교육청,E100000001,2000000,N,0,복식부기,예산세출,325054000,72132000,19850000,148050000,22854000,S040000225,2623898000,14157876.7,E100000001,4,특성화고등학교,N,한국글로벌셰프고등학교,
,사립,4,인천광역시 서구,,인천광역시교육청,인천광역시교육청,E100000001,8458000,N,0,복식부기,예산세출,659299000,104206000,106952000,122124000,430600000,S040000230,6557988000,6366236.7,E100000001,4,일반고등학교,N,서인천고등학교,
고,사립,4,인천광역시 부평구,4.0,인천광역시교육청,인천광역시교육청,E100000001,2000000,N,91502000,복식부기,예산세출,342886000,178714000,16320000,195774000,343534000,S040000235,4404536000,10155311.5,E100000001,4,일반고등학교,N,세일고등학교,
,사립,4,인천광역시 연수구,,인천광역시교육청,인천광역시교육청,E100000001,5000000,N,0,복식부기,예산세출,477400000,95928000,363005000,354860000,1333343000,S040000236,6059489000,10331777.6,E100000001,4,일반고등학교,N,송도고등학교,
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,5030000,N,0,복식부기,예산세출,424846000,156453000,28490000,973633000,672905000,S040000237,5905489000,10045321.0,E100000001,4,일반고등학교,N,숭덕여자고등학교,
,사립,4,인천광역시 남동구,,인천광역시교육청,인천광역시교육청,E100000001,8000000,N,0,복식부기,예산세출,560332000,148448000,47030000,198398000,423942000,S040000238,5365486000,7887425.2,E100000001,4,일반고등학교,N,신명여자고등학교,
