정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,113286310
,교직원보수,0
,기타 교직원 보수,23138730
,교직원 복지 및 역량강화,90147580
학생복지/교육격차 해소,학생복지/교육격차 해소,702175780
,급식 관리,563014440
,기숙사 관리,0
,보건관리,74121250
,교육격차 해소,457090
,학생복지,64583000
기본적 교육활동,기본적 교육활동,391971960
,교과 활동,355485290
,창의적 체험활동,36486670
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,208608930
,방과후학교 운영,114705470
,직업교육,0
,국제교육,0
,독서활동,20774260
,교기육성,55165860
,기타 선택적 교육활동,17963340
교육활동 지원,교육활동 지원,67024750
,교무업무 운영,14524350
,생활지도 운영,15619400
,연구학교 운영,0
,학습지원실 운영,15761000
,교육여건 개선,21120000
학교 일반운영,학교 일반운영,294389680
,학교기관운영,86157300
,시설 장비 유지,205446240
,학교운영 협력,2786140
학교시설 확충,학교시설 확충,293254160
,시설확충 및 개선,293254160
학교 재무활동,학교 재무활동,8160
,반환금,8160
,예비비,0
세출합계,세출합계,2070719730
