파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,평균합계,학교급
중등_결산_세출_2024.csv,1686327570299.0,1990938673326.0,939109144868.0,389462813265.0,845607624235.0,955308915336.0,529679582888.0,45607001809.0,35151232958.0,7417192558984.0,중등
초등_결산_세출_2024.csv,444587059392.0,3425939339778.0,1915994073931.0,2006142809037.0,1349173707066.0,1795470752029.0,337055352918.0,60972447805.0,62339257957.299995,11397674799913.3,초등
중등_결산_세출_2023.csv,1671253211207.0,1938375390411.0,821721587394.0,368179033004.0,907030750508.0,902952159773.0,461954860470.0,43775934614.0,32871251929.600002,7148114179310.6,중등
중등_결산_세출_2022.csv,1658406326026.0,1725218681730.0,636510580007.0,359410846709.0,880261473529.0,828900275408.0,445067907727.0,48768483503.0,30168623547.4,6612713198186.4,중등
초등_결산_세출_2023.csv,466301762407.0,3349233666965.0,1776072109816.0,1811306424847.0,1432693751109.0,1625865388379.0,343402476725.0,63126195162.0,56528237232.799995,10924530012642.8,초등
초등_결산_세출_2022.csv,475355258222.0,3088564392983.0,1439131326937.0,1596088068223.0,1433507425745.0,1491353610255.0,438302740461.0,75184044501.0,52165886352.20001,10089652753679.2,초등
고등_결산_세출_2024.csv,4373766701181.0,2798517606334.0,1335719874152.0,819579536004.0,1185131377637.0,1141420114947.0,1454737116523.0,104153235836.0,32253077840.2,13245278640454.2,고등
고등_결산_세출_2022.csv,4362905970455.0,2419888340849.0,879021247698.0,701770155519.0,1101460039980.0,974011841695.0,948925403033.0,88121750257.0,27048872325.699997,11503153621811.7,고등
고등_결산_세출_2023.csv,4352574412591.0,2569506800753.0,1163708171055.0,799370275354.0,1163719859279.0,1039927941193.0,1144728066876.0,99030523713.0,30065090503.0,12362631141317.0,고등
combined_결산_세출_초등_합계,1386244080021.0,9863737399726.0,5131197510684.0,5413537302107.0,4215374883920.0,4912689750663.0,1118760570104.0,199282687468.0,171033381542.3,32411857566235.3,초등
combined_결산_세출_중등_합계,5015987107532.0,5654532745467.0,2397341312269.0,1117052692978.0,2632899848272.0,2687161350517.0,1436702351085.0,138151419926.0,98191108435.0,21178019936481.0,중등
combined_결산_세출_고등_합계,13089247084227.0,7787912747936.0,3378449292905.0,2320719966877.0,3450311276896.0,3155359897835.0,3548390586432.0,291305509806.0,89367040668.9,37111063403582.9,고등
2024_합계,6504681330872.0,8215395619438.0,4190823092951.0,3215185158306.0,3379912708938.0,3892199782312.0,2321472052329.0,210732685450.0,129743568755.49998,32060145999351.5,
2023_합계,6490129386205.0,7857115858129.0,3761501868265.0,2978855733205.0,3503444360896.0,3568745489345.0,1950085404071.0,205932653489.0,119464579665.4,30435275333270.4,
2022_합계,6496667554703.0,7233671415562.0,2954663154642.0,2657269070451.0,3415228939254.0,3294265727358.0,1832296051221.0,212074278261.0,109383382225.3,28205519573677.297,
