파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,평균합계,학교급
고등_예산_세출_2024.csv,1811592147.1206388,856768871.7948718,323347938.62967634,134120729.29802439,144332748.2135351,420280129.8865069,81038538.04119378,7855994.115174443,8734700.105134679,3788071797.2047563,고등
고등_예산_세출_2022.csv,1795819367.038332,727094924.4161752,214027478.49536648,135486561.14700925,128185048.76200506,357949697.2005055,54499737.05981466,9506548.441449031,7964232.009616195,3430533594.570274,고등
고등_예산_세출_2023.csv,1785756727.196301,787485722.5725094,270779124.42202604,127814553.17360236,142491642.70701975,382853786.4649012,77810928.12105927,8470691.046658259,8427765.605389474,3591890941.309467,고등
중등_예산_세출_2024.csv,489467107.8939348,417553337.70192015,164533310.880829,55139536.72660774,81466635.47698872,245238560.80463272,12408446.814995429,1653890.5821395917,7273886.505446154,1474734713.3874943,중등
중등_예산_세출_2022.csv,485888528.5845307,341220108.2237848,124516263.83369,50682943.13665546,79620612.65667991,212808405.99205136,12727385.203301743,2702705.5946193826,6266837.976255005,1316433791.2015681,중등
중등_예산_세출_2023.csv,479948501.67836434,376823265.4867257,144902590.47909674,50794041.50137321,81743185.23039365,224081101.9224901,12891249.618553555,1785760.4516325907,6877369.898277983,1379847066.266908,중등
초등_예산_세출_2024.csv,50416058.39416058,385797778.9590606,151107330.68867028,193422482.38654396,71085029.0384005,241962981.75182483,9320450.333227547,1943248.8099016186,6340007.854306141,1111395368.2160964,초등
초등_예산_세출_2022.csv,56627013.78982406,319998511.96703124,128750651.76731654,176378491.83705816,68927555.39705183,200817178.47519416,6472887.93786654,2425603.106673007,4851585.0892037125,965249479.3672192,초등
초등_예산_세출_2023.csv,49110704.77247503,353388055.1767877,147626886.79245284,183199758.20516887,72348148.88219438,217986359.91755193,8221707.626446805,2120554.463294752,5648052.048690419,1039650227.8850627,초등
combined_예산_세출_초등_평균,52051258.98548656,353061448.70095986,142494956.41614655,184333577.476257,70786911.10588224,220255506.71485695,8005015.299180298,2163135.4599564592,5613214.997400091,1038765025.156126,초등
combined_예산_세출_중등_평균,485101379.3856099,378532237.1374769,144650721.73120525,52205507.121545464,80943477.78802076,227376022.90639138,12675693.878950244,2047452.2094638553,6806031.459993047,1390338523.6186569,중등
combined_예산_세출_고등_평균,1797722747.1184242,790449839.5945188,269384847.1823563,132473947.87287867,138336479.89418665,387027871.1839712,71116401.07402258,8611077.867760578,8375565.906713448,3603498777.6948323,고등
combined_예산_세출_전체_평균,778291795.1631734,507347841.81098515,185510175.1099027,123004344.15689373,96688956.26269655,278219800.26840657,30599036.7507177,4273888.512393631,6931604.121368863,2010867442.1565387,전체
