파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,평균합계,학교급
초등_결산_세입_2022.csv,8726272611440,99711214958,942301886244,0,40720573334,498465788493,10307472074469,초등
초등_결산_세입_2023.csv,9409718795817,88586329176,1274799396060,0,66469457597,270864359002,11110438337652,초등
중등_결산_세입_2022.csv,6257167883936,57321406812,231437179952,0,30146011177,260139464866,6836211946743,중등
중등_결산_세입_2023.csv,6700685559259,59325534576,278592663663,0,44400471403,253037103230,7336041332131,중등
초등_결산_세입_2024.csv,9705120139958,93896280504,1430032198895,0,91873241328,243020745832,11563942606517,초등
중등_결산_세입_2024.csv,6869538055799,70974260999,365515591115,0,59571380284,224995073989,7590594362186,중등
고등_결산_세입_2023.csv,10903977737818,312945028878,1112443666217,0,104714318989,589485461374,13023566213276,고등
고등_결산_세입_2022.csv,10152784752529,286382488549,999677556285,0,81149839073,551309053839,12071303690275,고등
고등_결산_세입_2024.csv,11448867794399,349546682561,1314220543996,0,144701663513,687848034697,13945184719166,고등
combined_결산_세입_초등_합계,27841111547215,282193824638,3647133481199,0,199063272259,1012350893327,32981853018638,초등
combined_결산_세입_중등_합계,19827391498994,187621202387,875545434730,0,134117862864,738171642085,21762847641060,중등
combined_결산_세입_고등_합계,32505630284746,948874199988,3426341766498,0,330565821575,1828642549910,39040054622717,고등
2022_합계,25136225247905,443415110319,2173416622481,0,152016423584,1309914307198,29214987711487,
2023_합계,27014382092894,460856892630,2665835725940,0,215584247989,1113386923606,31470045883059,
2024_합계,28023525990156,514417224064,3109768334006,0,296146285125,1155863854518,33099721687869,
