정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,13235000
,교직원보수,0
,기타 교직원 보수,6560000
,교직원 복지 및 역량강화,6675000
학생복지/교육격차 해소,학생복지/교육격차 해소,258699000
,급식 관리,203446000
,기숙사 관리,0
,보건관리,29653000
,교육격차 해소,0
,학생복지,25600000
기본적 교육활동,기본적 교육활동,136333000
,교과 활동,94265000
,창의적 체험활동,42068000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,174168000
,방과후학교 운영,144104000
,직업교육,0
,국제교육,0
,독서활동,18664000
,교기육성,0
,기타 선택적 교육활동,11400000
교육활동 지원,교육활동 지원,110234000
,교무업무 운영,6700000
,생활지도 운영,20540000
,연구학교 운영,38000000
,학습지원실 운영,9994000
,교육여건 개선,35000000
학교 일반운영,학교 일반운영,139504000
,학교기관운영,29728000
,시설 장비 유지,101446000
,학교운영 협력,8330000
학교시설 확충,학교시설 확충,100000000
,시설확충 및 개선,100000000
학교 재무활동,학교 재무활동,1000000
,반환금,0
,예비비,1000000
세출합계,세출합계,933173000
