공시년도,개방ID,학교명,학교급명,시도교육청명,공시차수,동아리_자원봉사자및외부강사수,동아리활동_학교수,동아리활동_참여학생수,동아리참여교사수,동아리수
2009,1020258724,순천미래과학고등학교,고등학교,전라남도교육청,2,1,1,772,37,34
2009,1021709263,서울문영여자중학교,중학교,서울특별시교육청,2,0,1,165,9,9
2009,1022340118,용안초등학교,초등학교,전북특별자치도교육청,2,0,1,0,0,0
2009,1024109303,영광중학교,중학교,경상북도교육청,2,0,1,330,6,3
2009,1024250924,안중중학교,중학교,경기도교육청,2,0,1,145,2,6
2009,1024815261,서부초등학교,초등학교,경기도교육청,2,0,1,32,2,2
2009,1025175750,통진고등학교,고등학교,경기도교육청,2,6,1,323,18,16
2009,1025363504,순천북초등학교,초등학교,전라남도교육청,2,0,1,129,5,5
2009,1025488495,토평초등학교,초등학교,제주특별자치도교육청,2,0,1,88,4,4
2009,1025515854,천포초등학교,초등학교,경상북도교육청,2,0,1,0,0,0
2009,1027913749,노량초등학교,초등학교,경상남도교육청,2,1,1,7,1,1
2009,1028138518,이반성초등학교,초등학교,경상남도교육청,2,1,1,47,2,2
2009,1028480231,나주반남중학교,중학교,전라남도교육청,2,0,1,0,0,0
2009,1028522610,순천이수초등학교,초등학교,전라남도교육청,2,0,1,47,2,2
2009,1028846085,청학초등학교,초등학교,부산광역시교육청,2,0,1,102,4,4
2009,1030342757,장위중학교,중학교,서울특별시교육청,2,1,1,113,7,7
2009,1031645238,흥해중학교,중학교,경상북도교육청,2,0,1,70,2,2
2009,1031856596,묘산중학교,중학교,경상남도교육청,2,0,1,15,1,1
2009,1034257173,호계초등학교,초등학교,경상북도교육청,2,0,1,0,0,0
2009,1034658968,전남자연과학고등학교,고등학교,전라남도교육청,2,0,1,47,2,1
2009,1034970104,송탄고등학교,고등학교,경기도교육청,2,0,1,141,8,7
2009,1035698592,청룡초등학교,초등학교,충청남도교육청,2,0,1,35,1,2
2009,1035854697,문명고등학교,고등학교,경상북도교육청,2,0,1,37,2,2
2009,1036627173,포항장원초등학교,초등학교,경상북도교육청,2,0,1,130,8,4
2009,1037729024,명지초등학교,초등학교,부산광역시교육청,2,0,1,135,9,5
2009,1039522349,분진중학교,중학교,경기도교육청,2,2,1,51,2,4
2009,1039631247,서현초등학교,초등학교,충청북도교육청,2,0,1,76,4,4
2009,1041562438,영천중앙초등학교,초등학교,경상북도교육청,2,0,1,459,41,5
2009,1042198657,서울수송초등학교,초등학교,서울특별시교육청,2,0,1,0,0,0
2009,1042253375,상주공업고등학교,고등학교,경상북도교육청,2,2,1,133,4,4
2009,1043228626,양주고등학교,고등학교,경기도교육청,2,0,1,325,18,17
2009,1044546663,금산초등학교,초등학교,충청남도교육청,2,0,1,227,4,4
2009,1045308411,서울길음초등학교,초등학교,서울특별시교육청,2,0,1,134,6,2
2009,1046245574,서산부춘중학교,중학교,충청남도교육청,2,0,1,176,8,3
2009,1046417772,영화국제관광고등학교,고등학교,인천광역시교육청,2,0,1,233,15,13
2009,1047200977,서울신림초등학교,초등학교,서울특별시교육청,2,0,1,185,9,4
2009,1047842562,증평중학교,중학교,충청북도교육청,2,0,1,213,6,5
2009,1048333942,문산수억중학교,중학교,경기도교육청,2,0,1,0,0,0
2009,1048410654,동광산업과학고등학교,고등학교,강원특별자치도교육청,2,4,1,143,9,11
2009,1048743247,삼동초등학교,초등학교,울산광역시교육청,2,0,1,0,0,0
2009,1049080133,용마초등학교,초등학교,경상남도교육청,2,0,1,0,0,0
2009,1049537718,주례초등학교,초등학교,부산광역시교육청,2,0,1,109,4,3
2009,1050529599,대성중학교,중학교,전북특별자치도교육청,2,0,1,12,1,1
2009,1051093935,덕산중학교,중학교,경상남도교육청,2,1,1,21,1,1
2009,1051666855,상현중학교,중학교,서울특별시교육청,2,0,1,141,8,8
2009,1051708161,현북중학교,중학교,강원특별자치도교육청,2,0,1,0,0,0
2009,1053260624,세종고등학교,고등학교,경상남도교육청,2,0,1,128,5,3
2009,1054026126,신녕중학교,중학교,경상북도교육청,2,0,1,0,0,0
2009,1054851710,부산국제고등학교,고등학교,부산광역시교육청,2,1,1,501,34,22
2009,1055590927,덕과초등학교,초등학교,전북특별자치도교육청,2,0,1,0,0,0
2009,1055688560,진주여자중학교,중학교,경상남도교육청,2,0,1,73,5,5
2009,1055863976,양산중학교,중학교,광주광역시교육청,2,1,1,150,6,8
2009,1057411074,원호초등학교,초등학교,경상북도교육청,2,0,1,464,6,6
2009,1057658374,대구신월초등학교,초등학교,대구광역시교육청,2,0,1,224,9,4
2009,1057840228,광성초등학교,초등학교,충청남도교육청,2,1,1,28,2,2
2009,1057921767,신산중학교,중학교,제주특별자치도교육청,2,0,1,81,2,2
2009,1058735549,선학중학교,중학교,인천광역시교육청,2,0,1,119,3,3
2009,1059120714,이동초등학교,초등학교,경상남도교육청,2,0,1,0,0,0
2009,1059237122,송동초등학교,초등학교,전북특별자치도교육청,2,0,1,10,1,1
