SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
고,사립,4,전북특별자치도 익산시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,362118146,6316120,0,128638400,29230870,S130000359,3058301170,P100000001,14,일반고등학교,N,성일고등학교,
고,사립,4,전북특별자치도 완주군,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,2063474,3626034,0,443967280,19322472,S130000360,3228955270,P100000001,14,특성화고등학교,N,세인고등학교,
,사립,4,전북특별자치도 순창군,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,1089345905,7391570,0,115743680,34900000,S130000362,5597697480,P100000001,14,일반고등학교,N,순창고등학교,
,사립,4,전북특별자치도 정읍시,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,6012176,4822905,0,37815440,22625200,S130000364,3051221430,P100000001,14,일반고등학교,N,신태인고등학교,
고,사립,4,전북특별자치도 고창군,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,10125154,14566490,0,123818400,259965000,S130000369,4166898260,P100000001,14,일반고등학교,N,전북인공지능고등학교,
,사립,4,전북특별자치도 전주시 완산구,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,복식부기,결산세입,135291075,27879904,0,227653430,15507360,S130000373,7361474190,P100000001,14,일반고등학교,N,전주대학교사범대학부설고등학교,
,사립,4,전북특별자치도 전주시 완산구,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,730655695,58515840,0,599155520,3976000,S130000374,6453202340,P100000001,14,일반고등학교,N,완산고등학교,
,사립,4,전북특별자치도 전주시 완산구,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,71789970,7941580,0,44874880,44472200,S130000376,5474557440,P100000001,14,특성화고등학교,N,완산여자고등학교,
,사립,4,전북특별자치도 완주군,,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,258462817,28567075,0,129149039,8176000,S130000377,6299847020,P100000001,14,일반고등학교,N,완주고등학교,
고,사립,4,전북특별자치도 정읍시,4.0,전북특별자치도교육청,전북특별자치도교육청,P100000001,N,미지정,결산세입,6272390,502350,0,11946360,28930810,S130000378,2029361710,P100000001,14,일반고등학교,N,왕신여자고등학교,
